Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,47,175,98,32,45,11,88,34
DC,n000026,45,97,48,11,38,4,53,27
DC,n000027,69,231,153,21,57,6,84,38
DC,n000028,125,438,238,72,128,15,215,94
DC,n000029,63,154,99,8,47,0,55,28
DC,n000030,84,201,123,12,66,7,85,43
DC,n000031,80,266,196,18,52,3,73,37
DC,n000032,50,103,62,6,35,4,45,22
DC,n000033,51,116,94,10,12,3,25,21
DC,n000034,56,180,102,22,56,6,84,40
DC,n000036,52,118,73,9,36,3,48,30
DC,n000037,61,145,70,15,60,7,82,42
DC,n000038,90,215,119,20,76,7,103,55
DC,n000039,49,123,76,10,37,0,47,26
DC,n000040,63,211,136,20,55,4,79,33
DC,n000041,80,319,149,36,134,9,179,60
DC,n000042,56,135,82,10,43,1,54,32
DC,n000043,84,341,205,38,98,16,152,62
DC,n000044,37,105,74,10,21,3,34,16
DC,n000045,38,127,98,14,15,5,34,16
DC,n000046,42,118,87,18,13,7,38,20
DC,n000047,76,341,240,46,55,14,115,47
DC,n000048,40,121,48,18,55,6,79,29
DC,n000049,48,150,85,21,44,11,76,30
DC,n000050,48,167,121,13,33,7,53,29
DC,n000051,53,181,130,26,25,4,55,31
DC,n000052,58,156,107,19,30,14,63,33
DC,n000053,56,286,197,32,57,12,101,37
DC,n000054,87,378,284,41,53,16,110,51
DC,n000055,62,130,74,16,40,7,63,35
DC,n000056,63,188,144,19,25,10,54,33
DC,n000057,104,294,113,26,155,8,189,84
DC,n000058,71,256,172,29,55,5,89,42
DC,n000059,53,137,43,8,86,4,98,46
DC,n000060,93,381,264,34,83,9,126,53
DC,n000061,50,158,109,19,30,10,59,30
DC,n000062,43,99,67,9,23,3,35,23
DC,n000063,53,157,55,14,88,2,104,40
DC,n000064,79,291,112,37,142,6,185,61
DC,n000065,45,99,37,12,50,6,68,32
DC,n000066,46,135,95,20,20,6,46,26
DC,n000067,53,201,144,19,38,7,64,23
DC,n000068,58,168,104,20,44,8,72,37
DC,n000069,51,147,70,12,65,4,81,35
DC,n000070,55,137,81,20,36,7,63,35
DC,n000071,55,178,109,20,49,2,71,32
DC,n000072,48,185,117,18,50,5,73,28
DC,n000073,45,118,77,5,36,1,42,21
DC,n000074,41,115,83,15,17,9,41,18
DC,n000193,39,119,72,9,38,4,51,23
DC,n000194,42,193,142,28,23,12,63,25
DC,n000196,76,283,160,24,99,10,133,54
DC,n000197,40,136,108,10,18,6,34,15
DC,n000198,61,262,124,10,128,7,145,37
DC,n000199,44,123,76,21,26,11,58,26
DC,n000200,41,176,111,22,43,3,68,31
DC,n000201,46,111,56,8,47,1,56,27
DC,n000202,55,186,130,12,44,8,64,27
DC,n000203,44,96,50,10,36,5,51,30
DC,n000204,46,81,41,5,35,0,40,21
DC,n000205,40,85,38,7,40,3,50,24
DC,n000206,40,113,76,6,31,1,38,21
DC,n000207,38,108,52,15,41,3,59,27
DC,n000208,41,92,11,4,77,0,81,35
DC,n000209,49,132,84,15,33,4,52,28
DC,n000210,39,77,35,7,35,2,44,25
DC,n000211,39,116,67,11,38,0,49,21
DC,n000212,43,90,34,10,46,2,58,34
DC,n000213,46,132,51,14,67,8,89,38
DC,n000214,51,133,73,6,54,2,62,34
DC,n000215,39,86,65,5,16,4,25,15
DC,Sum,3955,12202,7320,1259,3623,420,5302,2415
DC,Mean,55.7,171.9,103.1,17.7,51.0,5.9,74.7,34.0
DC,Median,51.0,145.0,94.0,15.0,44.0,6.0,63.0,31.0
