Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,65,221,144,22,55,5,82,35
DOA,n100004,184,1022,711,93,218,20,331,114
DOA,n100005,48,92,39,15,38,5,58,34
DOA,n100007,195,951,711,89,151,19,259,116
DOA,n100008,95,443,235,25,183,8,216,56
DOA,n100009,62,221,108,31,82,7,120,45
DOA,n100015,47,181,113,21,47,11,79,32
DOA,n100017,95,381,234,21,126,9,156,55
DOA,n100018,59,227,180,12,35,4,51,23
DOA,n100019,72,236,137,18,81,8,107,40
DOA,n100020,60,145,67,9,69,6,84,44
DOA,n100021,66,257,195,29,33,6,68,33
DOA,n100022,55,220,144,25,51,9,85,34
DOA,n100023,61,136,89,17,30,1,48,30
DOA,n100024,43,98,67,6,25,1,32,17
DOA,n100025,72,230,172,8,50,1,59,28
DOA,n100029,106,458,236,88,134,21,243,79
DOA,n100030,206,819,535,57,227,21,305,120
DOA,n100031,407,2986,1771,436,779,113,1328,341
DOA,n100032,239,881,379,135,367,39,541,184
DOA,n100034,75,264,166,15,83,5,103,34
DOA,n100035,281,1201,811,72,318,13,403,137
DOA,n100036,143,766,639,48,79,12,139,64
DOA,n100037,239,1073,606,79,388,26,493,163
DOA,n100038,70,270,178,30,62,3,95,31
DOA,n100039,190,716,347,104,265,32,401,143
DOA,n100040,73,265,77,13,175,3,191,56
DOA,n100041,57,155,62,8,85,5,98,40
DOA,n100042,87,265,144,30,91,7,128,48
DOA,n100043,156,790,589,63,138,24,225,86
DOA,n100044,66,171,107,9,55,7,71,30
DOA,n100045,150,710,480,93,137,17,247,105
DOA,n100046,83,378,199,53,126,14,193,59
DOA,n100047,123,457,272,47,138,9,194,76
DOA,n100048,159,832,154,60,618,13,691,148
DOA,n100049,187,827,281,106,440,31,577,162
DOA,n100050,206,1334,645,199,490,48,737,183
DOA,n100051,249,1328,622,243,463,48,754,202
DOA,n100052,63,218,143,15,60,10,85,42
DOA,n100053,90,398,322,13,63,3,79,35
DOA,n100054,238,1168,765,79,324,30,433,135
DOA,n100055,176,895,639,64,192,20,276,111
DOA,n100056,84,349,268,34,47,11,92,42
DOA,n100057,97,379,149,48,182,13,243,75
DOA,n100058,203,856,567,100,189,21,310,121
DOA,n100059,74,331,244,27,60,2,89,40
DOA,n100060,53,121,42,0,79,1,80,34
DOA,n100061,205,882,566,123,193,45,361,129
DOA,n100062,116,397,158,55,184,12,251,90
DOA,n100063,77,282,141,26,115,8,149,51
DOA,n100064,104,398,233,46,119,11,176,63
DOA,n100065,124,521,367,43,111,8,162,70
DOA,n100066,152,868,479,79,310,20,409,118
DOA,n100067,61,167,83,22,62,9,93,36
DOA,n100068,184,942,466,96,380,12,488,134
DOA,n100069,130,657,454,107,96,24,227,83
DOA,n100070,203,717,422,131,164,43,338,151
DOA,n100072,55,176,78,14,84,2,100,38
DOA,n100073,76,172,100,26,46,9,81,44
DOA,n100074,107,369,218,27,124,8,159,63
DOA,n100075,98,226,122,13,91,2,106,54
DOA,n100076,258,1230,726,178,326,36,540,176
DOA,n100077,177,840,500,149,191,31,371,112
DOA,n100078,107,516,296,39,181,20,240,70
DOA,n100079,63,162,107,9,46,13,68,30
DOA,n100080,215,923,711,67,145,24,236,117
DOA,n100081,139,555,370,47,138,16,201,80
DOA,n100082,219,813,376,160,277,41,478,168
DOA,Sum,8779,38535,22758,4266,11511,1136,16913,5739
DOA,Mean,129.1,566.7,334.7,62.7,169.3,16.7,248.7,84.4
DOA,Median,105.0,398.0,235.5,44.5,126.0,11.5,192.0,63.5
