Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,37,99,71,10,18,2,30,18
DT,n000161,62,285,210,18,57,2,77,31
DT,n000162,39,91,42,11,38,4,53,29
DT,n000163,37,85,52,11,22,1,34,24
DT,n000165,37,91,55,7,29,8,44,26
DT,n000166,38,96,77,3,16,1,20,12
DT,n000167,49,144,80,31,33,19,83,35
DT,n000168,38,89,72,9,8,2,19,14
DT,n000169,39,81,48,3,30,1,34,22
DT,n000170,50,192,140,17,35,2,54,21
DT,n000171,41,114,62,9,43,6,58,25
DT,n000172,37,96,72,8,16,1,25,19
DT,n000173,37,109,91,8,10,5,23,12
DT,n000174,52,234,173,22,39,6,67,28
DT,n000175,43,173,131,12,30,7,49,23
DT,n000176,39,114,67,14,33,1,48,25
DT,n000177,41,73,29,5,39,2,46,26
DT,n000178,36,88,55,4,29,5,38,20
DT,n000179,40,116,91,12,13,13,38,17
DT,n000180,62,154,105,14,35,4,53,30
DT,n000181,42,104,54,14,36,8,58,27
DT,n000182,42,117,81,15,21,7,43,25
DT,n000183,51,186,112,25,49,11,85,33
DT,n000184,40,81,56,12,13,4,29,20
DT,n000239,39,201,168,21,12,9,42,23
DT,n000240,39,91,69,7,15,4,26,16
DT,n000241,59,254,195,22,37,10,69,30
DT,n000242,37,89,54,7,28,2,37,20
DT,n000243,47,103,72,7,24,2,33,23
DT,n000244,38,101,61,9,31,1,41,19
DT,n000245,47,92,53,12,27,4,43,27
DT,n000246,38,80,43,7,30,1,38,21
DT,n000247,61,231,122,25,84,10,119,41
DT,n000248,41,100,66,14,20,11,45,20
DT,n000249,57,218,112,25,81,6,112,40
DT,n000250,43,102,66,10,26,1,37,23
DT,n000251,54,128,63,3,62,3,68,31
DT,n000252,45,155,99,11,45,2,58,24
DT,n000253,36,82,53,7,22,3,32,20
DT,n000254,41,151,116,15,20,1,36,20
DT,n000255,40,104,85,9,10,1,20,15
DT,n000256,37,97,81,5,11,2,18,11
DT,n000257,36,71,35,4,32,4,40,21
DT,n000258,36,81,48,9,24,3,36,25
DT,n000265,38,93,52,11,30,8,49,20
DT,n000266,37,112,72,14,26,1,41,23
DT,n000267,44,188,135,29,24,15,68,29
DT,n000268,36,88,72,2,14,0,16,10
DT,n000269,35,77,56,9,12,6,27,21
DT,n000270,55,231,154,12,65,3,80,32
DT,n000271,45,93,56,6,31,3,40,20
DT,n000272,56,119,65,16,38,9,63,36
DT,n000273,68,272,167,16,89,8,113,36
DT,n000274,37,101,48,4,49,1,54,23
DT,n000275,36,70,46,6,18,4,28,19
DT,n000276,40,103,82,8,13,2,23,15
DT,n000277,44,114,72,14,28,5,47,33
DT,n000278,62,240,129,26,85,7,118,44
DT,n000279,38,143,102,18,23,7,48,24
DT,n000280,41,108,75,7,26,4,37,23
DT,n000281,36,80,50,7,23,2,32,20
DT,n000282,39,97,68,14,15,7,36,22
DT,n000283,36,84,71,5,8,2,15,11
DT,Sum,2723,7956,5259,747,1950,296,2993,1493
DT,Mean,43.2,126.3,83.5,11.9,31.0,4.7,47.5,23.7
DT,Median,40.0,103.0,72.0,11.0,28.0,4.0,41.0,23.0
