Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,146,427,158,71,198,18,287,121
NnA,n000019,113,327,101,40,186,20,246,84
NnA,n000022,77,264,133,31,100,7,138,60
NnA,n000024,89,357,187,27,143,7,177,64
NnA,n000216,96,299,109,49,141,32,222,86
NnA,n000217,63,184,128,13,43,3,59,28
NnA,n000218,131,393,230,42,121,8,171,80
NnA,n000219,64,226,95,32,99,12,143,53
NnA,n000259,121,370,115,42,213,21,276,106
NnA,n000260,76,302,77,39,186,11,236,69
NnA,n000261,180,897,492,175,230,60,465,148
NnA,n000262,54,141,47,21,73,7,101,44
NnA,n000263,54,171,109,14,48,5,67,30
NnA,n000264,109,332,137,51,144,16,211,80
NnA,n000319,151,715,453,97,165,40,302,112
NnA,n000320,128,410,163,78,169,36,283,98
NnA,n000321,131,654,345,98,211,27,336,102
NnA,n000322,272,786,375,120,291,38,449,209
NnA,n000323,108,325,144,34,147,11,192,80
NnA,n000324,298,1073,450,169,454,62,685,242
NnA,n000325,247,1063,411,109,543,35,687,223
NnA,n000326,160,488,287,39,162,22,223,94
NnA,n000327,69,146,44,23,79,10,112,51
NnA,n000328,116,342,130,41,171,1,213,91
NnA,n000329,785,2755,1205,369,1181,101,1651,621
NnA,n000330,91,201,106,21,74,6,101,57
NnA,n000331,79,171,53,12,106,8,126,60
NnA,n000332,86,347,214,32,101,11,144,63
NnA,n000333,52,152,87,15,50,5,70,31
NnA,n000334,123,519,223,77,219,14,310,96
NnA,n000335,381,1130,645,101,384,22,507,231
NnA,n000336,76,156,62,13,81,2,96,48
NnA,n000338,198,774,394,77,303,30,410,144
NnA,n000339,108,370,191,60,119,40,219,89
NnA,n000340,149,529,304,52,173,25,250,110
NnA,n000341,100,285,132,28,125,18,171,79
NnA,n000342,150,500,239,56,205,21,282,110
NnA,n000343,148,465,143,64,258,8,330,122
NnA,n000344,153,586,186,76,324,17,417,132
NnA,n000345,256,760,367,64,329,10,403,161
NnA,n000346,98,317,84,42,191,21,254,72
NnA,n000347,57,201,151,18,32,6,56,25
NnA,n000348,71,221,133,16,72,1,89,44
NnA,n000349,122,435,135,77,223,18,318,108
NnA,n000350,472,1988,766,113,1109,30,1252,378
NnA,Sum,6808,23554,10740,2838,9976,923,13737,5136
NnA,Mean,151.3,523.4,238.7,63.1,221.7,20.5,305.3,114.1
NnA,Median,116.0,370.0,151.0,42.0,169.0,17.0,236.0,89.0
