Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,49,137,63,9,65,3,77,33
NnT,n000221,55,141,86,14,41,4,59,32
NnT,n000222,46,168,86,22,60,11,93,36
NnT,n000223,58,186,88,22,76,7,105,40
NnT,n000224,45,98,38,21,39,6,66,38
NnT,n000225,49,142,42,30,70,7,107,39
NnT,n000226,42,112,44,29,39,11,79,33
NnT,n000227,105,334,154,33,147,20,200,82
NnT,n000228,52,148,79,17,52,4,73,37
NnT,n000229,46,146,59,17,70,15,102,37
NnT,n000230,37,87,37,5,45,3,53,25
NnT,n000231,37,88,31,15,42,7,64,29
NnT,n000232,157,610,251,74,285,40,399,125
NnT,n000233,39,97,57,7,33,2,42,22
NnT,n000234,44,115,76,18,21,10,49,29
NnT,n000235,49,227,116,43,68,7,118,39
NnT,n000236,57,143,74,16,53,9,78,42
NnT,n000237,48,135,55,27,53,11,91,35
NnT,n000238,57,165,86,9,70,8,87,37
NnT,n000284,36,79,37,18,24,2,44,24
NnT,n000285,45,130,68,10,52,1,63,30
NnT,n000286,49,104,19,3,82,2,87,43
NnT,n000287,65,259,129,35,95,15,145,50
NnT,n000288,58,137,55,8,74,2,84,43
NnT,n000289,57,165,67,14,84,16,114,43
NnT,n000290,50,116,49,7,60,0,67,36
NnT,n000291,77,217,100,17,100,11,128,58
NnT,n000292,85,244,129,22,93,16,131,58
NnT,n000293,44,111,38,21,52,6,79,35
NnT,n000294,39,82,47,5,30,2,37,24
NnT,n000295,45,111,50,15,46,4,65,29
NnT,n000296,57,159,91,11,57,1,69,35
NnT,n000297,68,232,101,27,104,6,137,55
NnT,n000298,50,115,35,11,69,2,82,38
NnT,n000299,46,118,51,12,55,5,72,33
NnT,n000300,39,80,34,9,37,2,48,26
NnT,n000301,57,133,43,13,77,3,93,48
NnT,n000302,78,178,80,30,68,12,110,50
NnT,n000303,75,269,111,36,122,11,169,58
NnT,n000304,53,120,58,9,53,4,66,35
NnT,n000305,48,112,51,17,44,8,69,33
NnT,n000306,64,201,110,22,69,10,101,42
NnT,n000307,64,275,130,29,116,9,154,50
NnT,n000308,59,199,97,12,90,6,108,43
NnT,n000309,85,242,135,17,90,14,121,59
NnT,n000311,56,170,83,21,66,16,103,42
NnT,n000312,42,116,43,12,61,7,80,37
NnT,n000313,51,146,49,16,81,5,102,38
NnT,n000314,153,478,182,63,233,22,318,122
NnT,n000315,48,97,41,16,40,11,67,35
NnT,n000316,71,231,132,15,84,6,105,49
NnT,n000317,62,122,37,6,79,9,94,48
NnT,n000318,45,98,36,9,53,5,67,33
NnT,Sum,3093,8925,4040,1016,3869,436,5321,2272
NnT,Mean,58.4,168.4,76.2,19.2,73.0,8.2,100.4,42.9
NnT,Median,51.0,141.0,63.0,16.0,66.0,7.0,87.0,38.0
