Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,161,674,455,80,139,24,243,99
DC,n000026,216,735,359,62,314,14,390,157
DC,n000027,174,601,327,80,194,30,304,126
DC,n000028,185,698,424,76,198,22,296,116
DC,n000029,233,927,653,50,224,20,294,123
DC,n000030,222,1006,717,97,192,32,321,135
DC,n000031,242,722,554,34,134,10,178,99
DC,n000032,166,680,499,58,123,16,197,89
DC,n000033,134,581,394,72,115,18,205,85
DC,n000034,164,587,383,41,163,6,210,86
DC,n000036,162,571,294,91,186,26,303,122
DC,n000037,155,710,409,91,210,31,332,115
DC,n000038,171,662,419,72,171,19,262,104
DC,n000039,223,946,716,85,145,20,250,121
DC,n000040,168,952,678,133,141,32,306,115
DC,n000041,162,938,564,86,288,17,391,111
DC,n000042,167,928,642,79,207,26,312,97
DC,n000043,160,927,592,117,218,22,357,115
DC,n000044,215,1117,907,101,109,26,236,105
DC,n000045,177,1114,743,158,213,32,403,131
DC,n000046,190,1139,802,170,167,49,386,133
DC,n000047,192,944,574,93,277,19,389,133
DC,n000048,172,922,459,129,334,35,498,138
DC,n000049,138,849,520,102,227,18,347,108
DC,n000050,227,1174,828,112,234,31,377,138
DC,n000051,206,965,671,95,199,41,335,127
DC,n000052,184,929,688,117,124,40,281,123
DC,n000053,190,918,709,85,124,21,230,100
DC,n000054,286,1255,923,118,214,36,368,163
DC,n000055,176,602,373,63,166,19,248,110
DC,n000056,139,587,417,55,115,9,179,78
DC,n000057,122,624,278,57,289,12,358,94
DC,n000058,135,538,316,47,175,7,229,85
DC,n000059,117,552,211,56,285,3,344,102
DC,n000060,143,730,460,60,210,13,283,92
DC,n000061,213,884,688,77,119,19,215,106
DC,n000062,138,866,521,81,264,21,366,106
DC,n000063,140,683,503,52,128,21,201,78
DC,n000064,163,919,556,84,279,20,383,118
DC,n000065,131,694,379,67,248,22,337,105
DC,n000066,110,628,477,73,78,14,165,69
DC,n000067,209,1016,644,107,265,28,400,147
DC,n000068,155,711,387,44,280,12,336,105
DC,n000069,115,481,297,52,132,3,187,78
DC,n000070,203,632,236,37,359,10,406,160
DC,n000071,180,956,530,215,211,57,483,150
DC,n000072,147,919,756,81,82,16,179,72
DC,n000073,111,629,405,41,183,5,229,66
DC,n000074,232,1156,841,121,194,24,339,137
DC,n000193,196,1128,775,127,226,44,397,143
DC,n000194,221,931,514,76,341,23,440,161
DC,n000195,234,1130,608,124,398,44,566,177
DC,n000196,179,1126,808,119,199,21,339,112
DC,n000197,238,1143,820,81,242,37,360,129
DC,n000198,203,1138,687,123,328,30,481,146
DC,n000199,180,956,737,106,113,24,243,105
DC,n000200,191,1030,482,136,412,24,572,163
DC,n000201,222,970,337,62,571,27,660,190
DC,n000202,188,706,355,29,322,13,364,117
DC,n000203,251,894,527,60,307,18,385,151
DC,n000205,253,942,487,87,368,25,480,186
DC,n000206,186,1133,632,162,339,50,551,151
DC,n000207,181,1112,610,137,365,30,532,146
DC,n000208,258,946,219,100,627,24,751,233
DC,n000209,217,886,423,92,371,43,506,165
DC,n000210,179,664,434,62,168,21,251,105
DC,n000211,252,590,349,56,185,13,254,145
DC,n000212,176,673,294,38,341,13,392,133
DC,n000213,182,713,301,35,377,8,420,139
DC,n000214,191,733,398,61,274,21,356,133
DC,n000215,205,970,410,71,489,12,572,169
DC,Sum,13104,60492,37385,6098,17009,1633,24740,8771
DC,Mean,184.6,852.0,526.5,85.9,239.6,23.0,348.5,123.5
DC,Median,181.0,918.0,503.0,81.0,213.0,21.0,339.0,121.0
