Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,194,876,630,96,150,21,267,122
DOA,n100004,174,895,734,64,97,7,168,71
DOA,n100005,136,891,688,108,95,18,221,93
DOA,n100007,157,877,689,99,89,21,209,95
DOA,n100008,159,922,707,102,113,15,230,95
DOA,n100009,153,910,667,109,134,28,271,100
DOA,n100015,164,881,763,55,63,11,129,65
DOA,n100017,159,867,764,46,57,16,119,60
DOA,n100018,141,869,797,44,28,13,85,42
DOA,n100019,153,895,755,49,91,14,154,67
DOA,n100020,175,874,709,66,99,10,175,80
DOA,n100021,145,880,818,35,27,7,69,37
DOA,n100022,132,892,757,66,69,10,145,63
DOA,n100023,146,879,729,70,80,16,166,72
DOA,n100024,136,876,685,112,79,23,214,84
DOA,n100025,174,882,720,39,123,11,173,62
DOA,n100029,158,961,604,152,205,39,396,125
DOA,n100030,187,884,676,78,130,26,234,104
DOA,n100031,162,918,522,71,325,21,417,113
DOA,n100032,232,977,472,96,409,26,531,166
DOA,n100034,160,887,745,50,92,17,159,67
DOA,n100035,235,931,633,55,243,22,320,111
DOA,n100036,161,882,760,59,63,14,136,64
DOA,n100037,199,927,641,72,214,23,309,97
DOA,n100038,147,902,743,85,74,17,176,78
DOA,n100039,164,937,736,96,105,23,224,87
DOA,n100040,153,890,637,64,189,16,269,88
DOA,n100041,203,905,536,70,299,20,389,146
DOA,n100042,160,905,736,81,88,11,180,82
DOA,n100043,182,891,791,34,66,14,114,54
DOA,n100044,140,883,676,89,118,20,227,85
DOA,n100045,151,903,752,91,60,25,176,70
DOA,n100046,152,877,704,87,86,22,195,86
DOA,n100047,488,1120,520,109,491,13,613,328
DOA,n100048,212,952,234,105,613,28,746,195
DOA,n100049,179,918,436,118,364,32,514,146
DOA,n100050,176,902,596,99,207,30,336,118
DOA,n100051,168,915,479,131,305,14,450,140
DOA,n100052,193,984,752,72,160,8,240,91
DOA,n100053,154,889,780,47,62,10,119,53
DOA,n100054,196,875,679,53,143,17,213,83
DOA,n100055,164,883,783,45,55,14,114,56
DOA,n100056,163,876,811,33,32,7,72,38
DOA,n100057,153,910,548,116,246,36,398,118
DOA,n100058,231,935,651,116,168,37,321,127
DOA,n100059,132,880,747,55,78,10,143,62
DOA,n100060,168,913,594,80,239,21,340,114
DOA,n100061,166,896,723,77,96,13,186,82
DOA,n100062,154,880,558,101,221,22,344,103
DOA,n100063,145,910,579,93,238,23,354,107
DOA,n100064,152,889,694,79,116,22,217,83
DOA,n100065,153,888,721,72,95,18,185,74
DOA,n100066,157,900,655,83,162,15,260,93
DOA,n100067,214,1011,662,142,207,61,410,156
DOA,n100068,216,1013,580,126,307,41,474,162
DOA,n100069,158,900,677,105,118,22,245,95
DOA,n100070,401,1144,665,139,340,37,516,251
DOA,n100072,157,894,661,76,157,20,253,90
DOA,n100073,182,886,653,103,130,18,251,102
DOA,n100074,172,903,754,62,87,18,167,79
DOA,n100075,163,891,730,64,97,19,180,76
DOA,n100076,184,917,625,109,183,37,329,121
DOA,n100077,206,888,670,116,102,27,245,113
DOA,n100078,148,898,676,97,125,12,234,93
DOA,n100079,139,880,791,46,43,5,94,51
DOA,n100080,161,887,792,48,47,14,109,55
DOA,n100081,148,889,770,54,65,11,130,57
DOA,n100082,180,965,599,189,177,63,429,142
DOA,Sum,11977,61907,45821,5650,10436,1392,17478,6685
DOA,Mean,176.1,910.4,673.8,83.1,153.5,20.5,257.0,98.3
DOA,Median,161.5,894.5,686.5,79.5,117.0,18.0,225.5,89.0
