Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,127,884,691,73,120,10,203,78
DT,n000161,136,919,690,104,125,21,250,88
DT,n000162,207,933,568,107,258,26,391,147
DT,n000163,159,909,613,63,233,13,309,99
DT,n000165,163,909,639,87,183,16,286,103
DT,n000166,155,909,781,55,73,15,143,61
DT,n000167,151,917,772,88,57,18,163,87
DT,n000168,135,900,753,68,79,13,160,68
DT,n000169,129,907,738,87,82,11,180,79
DT,n000170,167,910,763,79,68,17,164,79
DT,n000171,198,1040,625,119,296,26,441,146
DT,n000172,152,936,682,93,161,22,276,97
DT,n000173,138,895,735,68,92,17,177,75
DT,n000174,146,960,834,65,61,13,139,70
DT,n000175,162,901,752,49,100,13,162,69
DT,n000176,204,1015,663,76,276,18,370,151
DT,n000177,163,938,652,70,216,19,305,102
DT,n000178,160,907,585,53,269,14,336,103
DT,n000179,133,886,738,67,81,24,172,68
DT,n000180,173,967,753,61,153,18,232,94
DT,n000181,143,913,708,66,139,13,218,79
DT,n000182,168,916,693,54,169,13,236,89
DT,n000183,180,968,683,96,189,15,300,122
DT,n000184,194,928,680,83,165,17,265,111
DT,n000239,124,884,682,95,107,14,216,83
DT,n000240,161,933,716,70,147,15,232,86
DT,n000241,154,862,732,70,60,19,149,76
DT,n000242,160,894,694,64,136,11,211,83
DT,n000243,124,881,735,95,51,16,162,69
DT,n000244,156,893,726,82,85,17,184,77
DT,n000245,132,893,755,82,56,15,153,70
DT,n000246,129,872,784,68,20,13,101,58
DT,n000247,105,895,724,91,80,10,181,62
DT,n000248,144,870,681,106,83,26,215,90
DT,n000249,133,889,747,56,86,15,157,68
DT,n000250,148,892,678,75,139,12,226,95
DT,n000251,140,879,755,57,67,19,143,67
DT,n000252,120,886,694,118,74,23,215,83
DT,n000253,109,872,692,95,85,11,191,73
DT,n000254,127,900,763,86,51,19,156,76
DT,n000255,129,881,777,44,60,4,108,49
DT,n000256,121,877,742,58,77,8,143,54
DT,n000257,128,891,678,96,117,19,232,89
DT,n000258,132,899,686,93,120,26,239,91
DT,n000265,129,902,761,102,39,18,159,81
DT,n000266,143,891,724,81,86,15,182,79
DT,n000267,103,894,748,95,51,15,161,64
DT,n000268,134,890,772,64,54,11,129,61
DT,n000269,122,883,745,72,66,16,154,63
DT,n000270,136,886,746,80,60,18,158,73
DT,n000271,116,894,805,55,34,9,98,56
DT,n000272,128,880,792,59,29,7,95,50
DT,n000273,131,922,766,96,60,14,170,78
DT,n000274,122,906,742,98,66,18,182,82
DT,n000275,124,882,792,51,39,9,99,48
DT,n000276,158,913,732,100,81,13,194,94
DT,n000277,140,932,773,119,40,30,189,85
DT,n000278,162,896,554,127,215,24,366,126
DT,n000279,167,924,642,71,211,26,308,111
DT,n000280,136,880,720,66,94,10,170,75
DT,n000281,118,900,703,112,85,18,215,81
DT,n000282,123,879,788,52,39,10,101,52
DT,n000283,150,938,786,56,96,6,158,70
DT,Sum,9061,57102,45323,4988,6791,1001,12780,5193
DT,Mean,143.8,906.4,719.4,79.2,107.8,15.9,202.9,82.4
DT,Median,138.0,899.0,732.0,76.0,85.0,15.0,182.0,79.0
