Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,214,903,282,103,518,19,640,204
NnA,n000019,230,645,172,51,422,4,477,194
NnA,n000022,200,934,236,151,547,16,714,190
NnA,n000024,301,1109,382,134,593,21,748,261
NnA,n000217,194,905,585,59,261,21,341,117
NnA,n000218,184,915,620,69,226,18,313,113
NnA,n000219,177,891,428,126,337,21,484,155
NnA,n000259,319,1006,298,99,609,58,766,288
NnA,n000260,184,740,85,51,604,13,668,179
NnA,n000261,194,982,506,179,297,39,515,164
NnA,n000262,220,928,305,118,505,34,657,195
NnA,n000263,283,984,469,93,422,23,538,208
NnA,n000264,301,1031,529,122,380,31,533,229
NnA,n000319,171,886,643,78,165,16,259,103
NnA,n000320,234,906,397,152,357,51,560,207
NnA,n000321,186,932,515,139,278,37,454,153
NnA,n000322,350,935,439,109,387,22,518,252
NnA,n000323,186,893,410,102,381,28,511,155
NnA,n000324,320,1063,355,85,623,18,726,271
NnA,n000325,353,1300,443,136,721,32,889,303
NnA,n000326,213,886,463,89,334,30,453,161
NnA,n000327,421,1034,314,128,592,38,758,348
NnA,n000328,236,976,446,110,420,23,553,193
NnA,n000329,310,1074,315,123,636,28,787,276
NnA,n000330,268,916,331,108,477,19,604,219
NnA,n000331,352,1065,329,76,660,23,759,296
NnA,n000332,274,1019,410,62,547,10,619,204
NnA,n000333,151,887,573,98,216,23,337,103
NnA,n000334,171,928,426,160,342,27,529,153
NnA,n000335,188,905,588,69,248,16,333,125
NnA,n000336,272,952,349,80,523,27,630,228
NnA,n000337,287,984,271,68,645,24,737,249
NnA,n000338,347,1016,450,57,509,14,580,251
NnA,n000339,226,942,361,107,474,21,602,200
NnA,n000340,197,912,494,94,324,30,448,154
NnA,n000341,232,944,394,102,448,15,565,198
NnA,n000342,193,905,394,103,408,30,541,160
NnA,n000343,292,1004,211,107,686,11,804,273
NnA,n000344,295,979,242,94,643,36,773,268
NnA,n000345,248,897,305,65,527,6,598,211
NnA,n000346,262,955,397,142,416,23,581,213
NnA,n000347,293,931,538,85,308,22,415,193
NnA,n000348,260,903,490,72,341,10,423,173
NnA,n000349,245,929,365,116,448,32,596,210
NnA,n000350,270,1067,334,81,652,9,742,231
NnA,Sum,11304,42898,17889,4552,20457,1069,26078,9231
NnA,Mean,251.2,953.3,397.5,101.2,454.6,23.8,579.5,205.1
NnA,Median,245.0,934.0,397.0,102.0,448.0,23.0,580.0,204.0
