Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,243,1100,503,154,443,46,643,215
NnT,n000221,149,847,419,118,310,37,465,128
NnT,n000222,261,1222,435,151,636,33,820,235
NnT,n000223,214,972,537,135,300,19,454,166
NnT,n000224,191,691,217,98,376,14,488,172
NnT,n000225,217,919,183,141,595,25,761,206
NnT,n000226,195,1020,435,145,440,43,628,173
NnT,n000227,349,996,408,95,493,55,643,274
NnT,n000228,250,1151,682,108,361,41,510,183
NnT,n000229,170,869,419,146,304,34,484,153
NnT,n000230,147,668,321,116,231,24,371,121
NnT,n000231,157,662,177,111,374,48,533,148
NnT,n000232,224,773,291,75,407,10,492,184
NnT,n000233,239,962,513,130,319,38,487,187
NnT,n000234,259,908,563,91,254,19,364,161
NnT,n000235,210,1012,516,94,402,21,517,172
NnT,n000236,271,989,471,144,374,23,541,226
NnT,n000237,157,713,383,125,205,30,360,133
NnT,n000238,180,655,231,84,340,28,452,157
NnT,n000284,192,1000,451,154,395,29,578,169
NnT,n000285,169,916,405,181,330,61,572,148
NnT,n000286,224,921,271,139,511,32,682,212
NnT,n000287,184,918,403,104,411,22,537,157
NnT,n000288,232,964,248,170,546,63,779,222
NnT,n000289,214,969,483,85,401,24,510,158
NnT,n000290,214,940,471,79,390,19,488,158
NnT,n000291,182,968,459,144,365,35,544,163
NnT,n000292,238,1010,528,111,371,32,514,191
NnT,n000293,245,982,267,117,598,27,742,232
NnT,n000294,173,899,620,80,199,14,293,111
NnT,n000295,183,880,446,128,306,29,463,157
NnT,n000296,276,1129,580,116,433,23,572,214
NnT,n000297,232,1066,481,126,459,22,607,199
NnT,n000298,200,949,415,92,442,16,550,172
NnT,n000299,298,750,335,64,351,15,430,200
NnT,n000300,185,926,319,145,462,27,634,177
NnT,n000301,259,1014,463,132,419,13,564,210
NnT,n000302,192,375,71,36,268,11,315,168
NnT,n000303,205,995,492,101,402,18,521,172
NnT,n000304,255,895,472,45,378,10,433,168
NnT,n000305,229,948,434,100,414,40,554,185
NnT,n000306,230,941,387,79,475,32,586,185
NnT,n000307,205,954,592,81,281,24,386,139
NnT,n000308,199,973,506,127,340,45,512,160
NnT,n000309,334,1036,436,111,489,23,623,262
NnT,n000311,132,907,607,123,177,30,330,108
NnT,n000312,190,921,447,115,359,23,497,159
NnT,n000313,160,922,467,89,366,25,480,136
NnT,n000314,252,1109,569,120,420,45,585,205
NnT,n000315,204,1118,580,166,372,47,585,182
NnT,n000316,278,1045,354,103,588,28,719,247
NnT,n000317,191,685,210,60,415,19,494,169
NnT,n000318,306,863,286,86,491,30,607,256
NnT,Sum,11545,49017,22259,5970,20788,1541,28299,9545
NnT,Mean,217.8,924.8,420.0,112.6,392.2,29.1,533.9,180.1
NnT,Median,214.0,948.0,436.0,115.0,390.0,27.0,521.0,172.0
