Filename,SPKR,Group
fn000030,n000016,NnA
fn000037,n000019,NnA
fn000043,n000022,NnA
fn000047,n000024,NnA
fn000049,n000025,DC
fn000051,n000026,DC
fn000060,n000028,DC
fn000062,n000029,DC
fn000064,n000030,DC
fn000066,n000031,DC
fn000068,n000032,DC
fn000070,n000033,DC
fn000073,n000034,DC
fn000074,n000027,DC
fn000076,n000036,DC
fn000078,n000037,DC
fn000080,n000038,DC
fn000082,n000039,DC
fn000084,n000040,DC
fn000087,n000041,DC
fn000090,n000042,DC
fn000092,n000043,DC
fn000094,n000044,DC
fn000096,n000045,DC
fn000098,n000046,DC
fn000100,n000047,DC
fn000102,n000048,DC
fn000104,n000049,DC
fn000106,n000050,DC
fn000108,n000054,DC
fn000110,n000051,DC
fn000112,n000052,DC
fn000115,n000053,DC
fn000117,n000055,DC
fn000119,n000056,DC
fn000121,n000057,DC
fn000123,n000058,DC
fn000125,n000059,DC
fn000127,n000060,DC
fn000129,n000061,DC
fn000133,n000062,DC
fn000135,n000063,DC
fn000137,n000064,DC
fn000139,n000073,DC
fn000141,n000065,DC
fn000143,n000066,DC
fn000145,n000067,DC
fn000147,n000068,DC
fn000149,n000070,DC
fn000151,n000069,DC
fn000153,n000071,DC
fn000155,n000072,DC
fn000157,n000074,DC
fn000373,n000160,DT
fn000377,n000161,DT
fn000381,n000162,DT
fn000384,n000163,DT
fn000394,n000165,DT
fn000397,n000166,DT
fn000402,n000167,DT
fn000406,n000168,DT
fn000409,n000169,DT
fn000412,n000170,DT
fn000415,n000171,DT
fn000418,n000172,DT
fn000421,n000173,DT
fn000425,n000174,DT
fn000428,n000175,DT
fn000431,n000176,DT
fn000434,n000177,DT
fn000437,n000178,DT
fn000440,n000179,DT
fn000443,n000180,DT
fn000447,n000181,DT
fn000450,n000182,DT
fn000453,n000183,DT
fn000456,n000184,DT
fn000491,n000193,DC
fn000494,n000194,DC
fn000497,n000195,DC
fn000499,n000196,DC
fn000503,n000197,DC
fn000507,n000198,DC
fn000510,n000199,DC
fn000515,n000200,DC
fn000518,n000201,DC
fn000521,n000202,DC
fn000524,n000203,DC
fn000531,n000205,DC
fn000534,n000206,DC
fn000537,n000207,DC
fn000540,n000208,DC
fn000543,n000209,DC
fn000546,n000210,DC
fn000549,n000211,DC
fn000552,n000212,DC
fn000555,n000213,DC
fn000558,n000214,DC
fn000561,n000215,DC
fn000569,n000217,NnA
fn000572,n000218,NnA
fn000575,n000219,NnA
fn000579,n000220,NnT
fn000582,n000221,NnT
fn000585,n000222,NnT
fn000588,n000223,NnT
fn000591,n000224,NnT
fn000594,n000225,NnT
fn000597,n000226,NnT
fn000600,n000227,NnT
fn000603,n000228,NnT
fn000606,n000229,NnT
fn000609,n000230,NnT
fn000612,n000231,NnT
fn000615,n000232,NnT
fn000619,n000233,NnT
fn000622,n000234,NnT
fn000625,n000235,NnT
fn000628,n000236,NnT
fn000631,n000237,NnT
fn000634,n000238,NnT
fn000637,n000239,DT
fn000639,n000240,DT
fn000641,n000241,DT
fn000643,n000242,DT
fn000645,n000243,DT
fn000647,n000244,DT
fn000649,n000245,DT
fn000651,n000246,DT
fn000653,n000247,DT
fn000655,n000248,DT
fn000657,n000249,DT
fn000659,n000250,DT
fn000661,n000251,DT
fn000663,n000252,DT
fn000665,n000253,DT
fn000667,n000254,DT
fn000669,n000255,DT
fn000671,n000256,DT
fn000673,n000257,DT
fn000675,n000258,DT
fn000679,n000259,NnA
fn000682,n000260,NnA
fn000685,n000261,NnA
fn000688,n000262,NnA
fn000691,n000263,NnA
fn000694,n000264,NnA
fn000696,n000265,DT
fn000698,n000266,DT
fn000700,n000267,DT
fn000702,n000268,DT
fn000704,n000269,DT
fn000706,n000270,DT
fn000708,n000271,DT
fn000710,n000272,DT
fn000715,n000273,DT
fn000718,n000274,DT
fn000722,n000275,DT
fn000726,n000276,DT
fn000728,n000277,DT
fn000730,n000278,DT
fn000732,n000279,DT
fn000734,n000280,DT
fn000736,n000281,DT
fn000738,n000282,DT
fn000740,n000283,DT
fn000745,n000284,NnT
fn000747,n000285,NnT
fn000750,n000286,NnT
fn000752,n000287,NnT
fn000754,n000288,NnT
fn000756,n000289,NnT
fn000758,n000290,NnT
fn000760,n000291,NnT
fn000762,n000292,NnT
fn000764,n000293,NnT
fn000768,n000294,NnT
fn000771,n000295,NnT
fn000773,n000296,NnT
fn000775,n000297,NnT
fn000777,n000298,NnT
fn000779,n000299,NnT
fn000782,n000300,NnT
fn000784,n000301,NnT
fn000789,n000302,NnT
fn000791,n000303,NnT
fn000793,n000304,NnT
fn000795,n000305,NnT
fn000797,n000306,NnT
fn000799,n000307,NnT
fn000801,n000308,NnT
fn000803,n000309,NnT
fn000807,n000311,NnT
fn000809,n000312,NnT
fn000811,n000313,NnT
fn000813,n000314,NnT
fn000815,n000315,NnT
fn000817,n000316,NnT
fn000819,n000317,NnT
fn000821,n000318,NnT
fn000824,n000319,NnA
fn000827,n000320,NnA
fn000830,n000321,NnA
fn000833,n000322,NnA
