Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,65,263,151,53,59,18,130,48
DOA,n100004,184,1190,879,152,159,72,383,124
DOA,n100005,48,112,34,52,26,13,91,42
DOA,n100007,195,1069,778,181,110,77,368,135
DOA,n100008,95,503,316,72,115,27,214,64
DOA,n100009,62,275,136,65,74,19,158,50
DOA,n100015,47,227,136,47,44,10,101,36
DOA,n100017,95,498,346,68,84,30,182,69
DOA,n100018,59,292,257,22,13,9,44,25
DOA,n100019,72,289,187,43,59,15,117,50
DOA,n100020,60,179,88,40,51,17,108,51
DOA,n100021,66,324,270,36,18,13,67,35
DOA,n100022,55,262,178,43,41,15,99,35
DOA,n100023,61,163,93,42,28,17,87,45
DOA,n100024,43,142,75,26,41,6,73,29
DOA,n100025,72,275,219,26,30,8,64,32
DOA,n100029,106,531,311,151,69,51,271,79
DOA,n100030,206,998,749,118,131,43,292,115
DOA,n100031,407,3377,2219,783,375,197,1355,349
DOA,n100032,239,1040,521,279,240,62,581,201
DOA,n100034,75,341,241,49,51,13,113,41
DOA,n100035,281,1391,873,182,336,37,555,185
DOA,n100036,143,859,743,67,49,32,148,70
DOA,n100037,239,1353,733,194,426,54,674,189
DOA,n100038,70,307,209,53,45,14,112,33
DOA,n100039,190,877,499,210,168,54,432,149
DOA,n100040,73,327,154,73,100,7,180,63
DOA,n100041,57,202,89,45,68,4,117,46
DOA,n100042,87,331,188,70,73,17,160,60
DOA,n100043,156,919,706,107,106,29,242,90
DOA,n100044,66,221,125,48,48,9,105,44
DOA,n100045,150,872,545,141,186,23,350,109
DOA,n100046,83,474,246,108,120,18,246,73
DOA,n100047,123,525,288,135,102,34,271,94
DOA,n100048,159,1036,172,175,689,18,882,152
DOA,n100049,187,998,301,248,449,55,752,169
DOA,n100050,206,1511,895,383,233,116,732,180
DOA,n100051,249,1553,766,481,306,102,889,215
DOA,n100052,63,292,166,50,76,6,132,45
DOA,n100053,90,442,331,39,72,15,126,49
DOA,n100054,238,1373,933,177,263,64,504,158
DOA,n100055,176,1002,759,132,111,61,304,116
DOA,n100056,84,410,317,48,45,14,107,46
DOA,n100057,97,453,230,123,100,23,246,80
DOA,n100058,203,1005,663,179,163,34,376,136
DOA,n100059,74,395,325,37,33,20,90,35
DOA,n100060,53,177,78,31,68,10,109,36
DOA,n100061,205,1017,698,174,145,62,381,137
DOA,n100062,116,476,217,116,143,28,287,99
DOA,n100063,77,336,211,61,64,17,142,48
DOA,n100064,104,473,293,90,90,22,202,67
DOA,n100065,124,613,415,100,98,25,223,88
DOA,n100066,152,1000,541,161,298,44,503,124
DOA,n100067,61,208,86,59,63,7,129,47
DOA,n100068,184,1077,582,206,289,33,528,148
DOA,n100069,130,759,497,158,104,44,306,96
DOA,n100070,203,887,481,249,157,62,468,161
DOA,n100072,55,222,127,33,62,8,103,37
DOA,n100073,76,218,97,52,69,11,132,55
DOA,n100074,107,446,331,63,52,26,141,69
DOA,n100075,98,302,209,58,35,19,112,59
DOA,n100076,258,1446,906,327,213,96,636,197
DOA,n100077,177,988,623,215,150,52,417,123
DOA,n100078,107,579,413,64,102,23,189,68
DOA,n100079,63,209,99,38,72,16,126,44
DOA,n100080,215,1088,863,126,99,64,289,121
DOA,n100081,139,701,490,96,115,35,246,89
DOA,n100082,219,1019,465,321,233,45,599,179
DOA,Sum,8779,45719,28162,8651,8906,2341,19898,6333
DOA,Mean,129.1,672.3,414.1,127.2,131.0,34.4,292.6,93.1
DOA,Median,105.0,487.0,313.5,81.5,98.5,23.0,208.0,69.5
