Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,37,136,68,27,41,5,73,24
DT,n000161,62,354,272,49,33,20,102,38
DT,n000162,39,123,54,33,36,6,75,30
DT,n000163,37,127,61,30,36,3,69,28
DT,n000165,37,122,77,27,18,10,55,27
DT,n000166,38,131,95,16,20,4,40,18
DT,n000167,49,189,100,48,41,22,111,41
DT,n000168,38,114,73,26,15,6,47,22
DT,n000169,39,127,81,20,26,10,56,27
DT,n000170,50,238,192,22,24,8,54,20
DT,n000171,41,181,68,45,68,2,115,33
DT,n000172,37,129,96,21,12,5,38,22
DT,n000173,37,146,113,20,13,9,42,20
DT,n000174,52,286,226,41,19,20,80,31
DT,n000175,43,196,156,27,13,7,47,23
DT,n000176,39,156,106,33,17,10,60,24
DT,n000177,41,110,46,28,36,7,71,31
DT,n000178,36,121,64,26,31,7,64,25
DT,n000179,40,164,113,29,22,11,62,23
DT,n000180,62,198,118,46,34,12,92,49
DT,n000181,42,152,76,32,44,15,91,37
DT,n000182,42,159,108,31,20,20,71,33
DT,n000183,51,245,150,47,48,14,109,37
DT,n000184,40,109,58,24,27,8,59,27
DT,n000239,39,231,174,43,14,31,88,33
DT,n000240,39,129,83,28,18,9,55,27
DT,n000241,59,329,255,50,24,30,104,37
DT,n000242,37,123,73,27,23,5,55,26
DT,n000243,47,140,94,25,21,3,49,26
DT,n000244,38,122,81,20,21,3,44,19
DT,n000245,47,139,90,25,24,8,57,25
DT,n000246,38,117,71,20,26,7,53,23
DT,n000247,61,303,185,66,52,18,136,45
DT,n000248,41,145,89,29,27,8,64,26
DT,n000249,57,284,166,59,59,14,132,43
DT,n000250,43,148,81,29,38,10,77,33
DT,n000251,54,175,107,37,31,7,75,36
DT,n000252,45,199,125,48,26,14,88,33
DT,n000253,36,105,67,25,13,4,42,22
DT,n000254,41,192,130,35,27,14,76,28
DT,n000255,40,135,85,24,26,8,58,23
DT,n000256,37,127,79,20,28,5,53,22
DT,n000257,36,96,47,25,24,9,58,24
DT,n000258,36,106,78,16,12,7,35,19
DT,n000265,38,133,87,24,22,21,67,24
DT,n000266,37,147,102,23,22,7,52,26
DT,n000267,44,233,143,60,30,25,115,35
DT,n000268,36,121,84,14,23,3,40,16
DT,n000269,35,113,91,12,10,7,29,13
DT,n000270,55,323,207,44,72,6,122,36
DT,n000271,45,140,111,16,13,9,38,18
DT,n000272,56,169,104,39,26,9,74,34
DT,n000273,68,329,243,36,50,19,105,35
DT,n000274,37,146,78,36,32,13,81,32
DT,n000275,36,93,53,20,20,4,44,23
DT,n000276,40,149,97,23,29,2,54,25
DT,n000277,44,152,86,40,26,6,72,36
DT,n000278,62,291,131,72,88,14,174,53
DT,n000279,38,188,128,40,20,9,69,25
DT,n000280,41,150,93,26,31,7,64,26
DT,n000281,36,116,56,24,36,4,64,25
DT,n000282,39,143,101,25,17,10,52,23
DT,n000283,36,125,93,15,17,2,34,18
DT,Sum,2723,10619,6819,1988,1812,632,4432,1783
DT,Mean,43.2,168.6,108.2,31.6,28.8,10.0,70.3,28.3
DT,Median,40.0,146.0,93.0,27.0,26.0,8.0,64.0,26.0
