Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,146,492,168,182,142,44,368,134
NnA,n000019,113,398,118,146,134,41,321,98
NnA,n000022,77,312,152,95,65,32,192,65
NnA,n000024,89,409,192,90,127,31,248,76
NnA,n000216,96,364,154,112,98,62,272,85
NnA,n000217,63,238,158,37,43,12,92,35
NnA,n000218,131,472,251,112,109,38,259,91
NnA,n000219,64,274,124,111,39,43,193,57
NnA,n000259,121,456,151,130,175,50,355,113
NnA,n000260,76,367,90,130,147,26,303,72
NnA,n000261,180,995,543,335,117,118,570,158
NnA,n000262,54,191,63,64,64,26,154,48
NnA,n000263,54,209,130,37,42,10,89,32
NnA,n000264,109,382,158,123,101,39,263,83
NnA,n000319,151,822,539,189,94,65,348,127
NnA,n000320,128,529,246,169,114,68,351,97
NnA,n000321,131,740,447,153,140,53,346,105
NnA,n000322,272,901,442,266,193,75,534,215
NnA,n000323,108,457,166,121,170,31,322,94
NnA,n000324,298,1259,570,378,311,137,826,262
NnA,n000325,247,1285,501,443,341,137,921,230
NnA,n000326,160,580,351,140,89,64,293,114
NnA,n000327,69,171,60,64,47,14,125,55
NnA,n000328,116,452,210,126,116,28,270,99
NnA,n000329,785,3077,1452,872,753,311,1936,665
NnA,n000330,91,234,101,76,57,12,145,70
NnA,n000331,79,218,91,72,55,26,153,64
NnA,n000332,86,444,265,86,93,37,216,70
NnA,n000333,52,189,89,54,46,13,113,36
NnA,n000334,123,628,293,199,136,51,386,104
NnA,n000335,381,1298,780,264,254,65,583,259
NnA,n000336,76,183,75,56,52,11,119,59
NnA,n000338,198,868,373,225,270,60,555,167
NnA,n000339,108,444,241,122,81,57,260,90
NnA,n000340,149,588,313,147,128,70,345,119
NnA,n000341,100,326,143,83,100,39,222,86
NnA,n000342,150,662,290,163,209,48,420,125
NnA,n000343,148,562,113,177,272,56,505,144
NnA,n000344,153,670,280,244,146,93,483,138
NnA,n000345,256,844,371,247,226,70,543,200
NnA,n000346,98,368,130,78,160,34,272,77
NnA,n000347,57,234,162,47,25,8,80,32
NnA,n000348,71,275,150,43,82,11,136,47
NnA,n000349,122,493,130,220,143,53,416,115
NnA,n000350,472,2192,786,486,920,107,1513,437
NnA,Sum,6808,27552,12612,7714,7226,2476,17416,5649
NnA,Mean,151.3,612.3,280.3,171.4,160.6,55.0,387.0,125.5
NnA,Median,116.0,456.0,168.0,130.0,117.0,44.0,303.0,97.0
