Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,49,166,82,51,33,23,107,36
NnT,n000221,55,186,103,55,28,15,98,42
NnT,n000222,46,199,100,63,36,29,128,43
NnT,n000223,58,241,130,45,66,5,116,43
NnT,n000224,45,136,49,43,44,13,100,38
NnT,n000225,49,200,73,65,62,12,139,43
NnT,n000226,42,142,52,45,45,10,100,37
NnT,n000227,105,401,202,85,114,27,226,88
NnT,n000228,52,199,133,42,24,10,76,37
NnT,n000229,46,193,98,40,55,11,106,36
NnT,n000230,37,107,51,25,31,9,65,24
NnT,n000231,37,143,45,44,54,11,109,33
NnT,n000232,157,744,358,231,155,69,455,132
NnT,n000233,39,115,66,27,22,9,58,26
NnT,n000234,44,151,86,36,29,7,72,31
NnT,n000235,49,275,169,70,36,9,115,39
NnT,n000236,57,180,89,51,40,12,103,48
NnT,n000237,48,168,90,58,20,30,108,39
NnT,n000238,57,198,104,44,50,19,113,42
NnT,n000284,36,120,38,36,46,11,93,32
NnT,n000285,45,162,82,49,31,13,93,37
NnT,n000286,49,133,46,47,40,9,96,45
NnT,n000287,65,332,207,69,56,41,166,59
NnT,n000288,58,180,58,64,58,11,133,49
NnT,n000289,57,202,89,60,53,10,123,50
NnT,n000290,50,149,67,54,28,13,95,40
NnT,n000291,77,263,100,83,80,20,183,63
NnT,n000292,85,320,189,75,56,28,159,66
NnT,n000293,44,143,52,48,43,8,99,37
NnT,n000294,39,108,70,27,11,15,53,24
NnT,n000295,45,151,75,33,43,6,82,28
NnT,n000296,57,190,104,48,38,15,101,39
NnT,n000297,68,285,165,80,40,23,143,51
NnT,n000298,50,152,79,45,28,16,89,37
NnT,n000299,46,152,78,45,29,20,94,33
NnT,n000300,39,119,52,34,33,13,80,26
NnT,n000301,57,166,44,67,55,20,142,53
NnT,n000302,78,235,92,92,51,34,177,59
NnT,n000303,75,324,160,83,81,26,190,66
NnT,n000304,53,151,70,46,35,12,93,43
NnT,n000305,48,157,64,43,50,7,100,37
NnT,n000306,64,261,136,64,61,13,138,48
NnT,n000307,64,369,177,89,103,29,221,54
NnT,n000308,59,234,118,57,59,13,129,52
NnT,n000309,85,308,148,79,81,16,176,66
NnT,n000311,56,212,98,56,58,27,141,49
NnT,n000312,42,163,59,47,57,11,115,39
NnT,n000313,51,196,93,48,55,21,124,43
NnT,n000314,153,569,212,195,162,65,422,133
NnT,n000315,48,123,54,49,20,9,78,40
NnT,n000316,71,287,141,83,63,19,165,58
NnT,n000317,62,165,52,53,60,21,134,55
NnT,n000318,45,118,50,39,29,6,74,38
NnT,Sum,3093,11343,5399,3207,2737,951,6895,2506
NnT,Mean,58.4,214.0,101.9,60.5,51.6,17.9,130.1,47.3
NnT,Median,51.0,180.0,89.0,51.0,46.0,13.0,109.0,42.0
