Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,161,854,411,217,226,57,500,141
DC,n000026,216,881,422,186,273,47,506,182
DC,n000027,174,768,410,198,160,62,420,133
DC,n000028,185,879,572,192,115,63,370,129
DC,n000029,233,1144,874,164,106,60,330,131
DC,n000030,222,1281,890,237,154,66,457,162
DC,n000031,242,918,625,162,131,34,327,144
DC,n000032,166,858,409,269,180,86,535,149
DC,n000033,134,745,412,182,151,59,392,115
DC,n000034,164,748,419,188,141,58,387,126
DC,n000036,162,732,259,218,255,31,504,145
DC,n000037,155,898,517,234,147,67,448,132
DC,n000038,171,848,425,262,161,70,493,142
DC,n000039,223,1188,645,322,221,87,630,179
DC,n000040,168,1191,824,243,124,86,453,131
DC,n000041,162,1160,732,229,199,67,495,140
DC,n000042,167,1152,858,177,117,59,353,116
DC,n000043,160,1150,796,242,112,66,420,129
DC,n000044,215,1370,1116,156,98,44,298,121
DC,n000045,177,1363,761,382,220,112,714,167
DC,n000046,190,1395,1026,261,108,65,434,147
DC,n000047,192,1171,660,192,319,54,565,152
DC,n000048,172,1176,638,270,268,63,601,148
DC,n000049,138,1074,663,281,130,68,479,123
DC,n000050,227,1432,1070,210,152,63,425,151
DC,n000051,206,1187,885,203,99,90,392,163
DC,n000052,184,1185,867,226,92,82,400,137
DC,n000053,190,1136,869,183,84,62,329,132
DC,n000054,286,1548,1144,257,147,76,480,191
DC,n000055,176,769,466,187,116,48,351,133
DC,n000056,139,738,496,120,122,26,268,94
DC,n000057,122,781,333,190,258,43,491,108
DC,n000058,135,684,428,136,120,25,281,102
DC,n000059,117,607,168,197,242,30,469,113
DC,n000060,143,930,649,138,143,31,312,105
DC,n000061,213,1129,879,160,90,44,294,128
DC,n000062,138,1110,740,258,112,68,438,119
DC,n000063,140,858,573,147,138,59,344,101
DC,n000064,163,1147,811,183,153,61,397,127
DC,n000065,131,850,596,145,109,54,308,102
DC,n000066,110,766,567,142,57,32,231,86
DC,n000067,209,1255,534,409,312,92,813,193
DC,n000068,155,871,587,144,140,41,325,118
DC,n000069,115,537,256,162,119,27,308,101
DC,n000070,203,714,358,180,176,35,391,164
DC,n000071,180,1192,661,358,173,105,636,162
DC,n000072,147,1134,862,152,120,39,311,99
DC,n000073,111,761,532,73,156,37,266,76
DC,n000074,232,1405,1004,239,162,79,480,171
DC,n000193,196,1377,975,279,123,87,489,158
DC,n000194,221,1170,517,300,353,57,710,194
DC,n000195,234,1409,852,243,314,74,631,198
DC,n000196,179,1383,1041,209,133,35,377,118
DC,n000197,238,1408,1032,219,157,79,455,166
DC,n000198,203,1396,832,268,296,72,636,175
DC,n000199,180,1174,886,189,99,46,334,123
DC,n000200,191,1266,570,401,295,98,794,179
DC,n000201,222,1233,543,290,400,79,769,197
DC,n000202,188,912,557,166,189,47,402,133
DC,n000203,251,1127,721,223,183,74,480,174
DC,n000205,253,1217,562,322,333,74,729,213
DC,n000206,186,1410,847,330,233,82,645,158
DC,n000207,181,1357,792,321,244,92,657,163
DC,n000208,258,1174,169,423,582,75,1080,255
DC,n000209,217,1134,614,270,250,104,624,184
DC,n000210,179,841,539,158,144,35,337,119
DC,n000211,252,758,453,168,137,31,336,159
DC,n000212,176,865,324,222,319,75,616,160
DC,n000213,182,910,374,204,332,64,600,169
DC,n000214,191,939,614,157,168,46,371,132
DC,n000215,205,1189,621,217,351,61,629,185
DC,Sum,13104,75319,46134,15842,13343,4367,33552,10272
DC,Mean,184.6,1060.8,649.8,223.1,187.9,61.5,472.6,144.7
DC,Median,181.0,1134.0,621.0,210.0,154.0,62.0,448.0,141.0
