Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,194,1051,798,167,86,62,315,126
DOA,n100004,174,1069,904,100,65,31,196,92
DOA,n100005,136,1074,819,187,68,40,295,102
DOA,n100007,157,1048,787,149,112,49,310,115
DOA,n100008,159,1114,872,161,81,47,289,106
DOA,n100009,153,1089,786,167,136,55,358,112
DOA,n100015,164,1053,847,107,99,25,231,87
DOA,n100017,159,1048,895,78,75,37,190,76
DOA,n100018,141,1043,947,71,25,27,123,53
DOA,n100019,153,1076,956,86,34,33,153,76
DOA,n100020,175,1050,871,127,52,58,237,98
DOA,n100021,145,1056,995,40,21,11,72,37
DOA,n100022,132,1076,885,129,62,49,240,83
DOA,n100023,146,1058,881,93,84,36,213,79
DOA,n100024,136,1051,886,126,39,24,189,82
DOA,n100025,174,1057,948,77,32,32,141,65
DOA,n100029,158,1157,780,285,92,96,473,135
DOA,n100030,187,1075,842,160,73,53,286,112
DOA,n100031,162,1107,755,218,134,51,403,122
DOA,n100032,232,1170,644,245,281,48,574,174
DOA,n100034,160,1063,902,110,51,37,198,79
DOA,n100035,235,1118,724,148,246,41,435,155
DOA,n100036,161,1062,956,73,33,32,138,66
DOA,n100037,199,1115,764,145,206,53,404,120
DOA,n100038,147,1093,890,134,69,30,233,85
DOA,n100039,164,1123,876,187,60,66,313,109
DOA,n100040,153,1073,786,138,149,20,307,104
DOA,n100041,203,1100,620,194,286,46,526,152
DOA,n100042,160,1090,890,120,80,28,228,90
DOA,n100043,182,1068,952,71,45,22,138,60
DOA,n100044,140,1062,830,178,54,56,288,103
DOA,n100045,151,1099,886,141,72,33,246,89
DOA,n100046,152,1057,642,177,238,47,462,121
DOA,n100047,488,1395,684,414,297,113,824,360
DOA,n100048,212,1159,207,285,667,56,1008,204
DOA,n100049,179,1111,468,298,345,57,700,157
DOA,n100050,176,1085,796,203,86,52,341,127
DOA,n100051,168,1114,634,281,199,74,554,142
DOA,n100052,193,1182,860,129,193,28,350,112
DOA,n100053,154,1063,939,72,52,20,144,63
DOA,n100054,196,1054,804,88,162,27,277,99
DOA,n100055,164,1058,962,61,35,36,132,59
DOA,n100056,163,1046,943,63,40,25,128,65
DOA,n100057,153,1114,735,244,135,68,447,124
DOA,n100058,231,1160,747,228,185,48,461,148
DOA,n100059,132,1055,921,89,45,27,161,67
DOA,n100060,168,1112,866,160,86,33,279,115
DOA,n100061,166,1092,825,144,123,35,302,98
DOA,n100062,154,1061,744,182,135,63,380,110
DOA,n100063,145,1093,734,233,126,59,418,124
DOA,n100064,152,1088,861,151,76,47,274,88
DOA,n100065,153,1065,840,147,78,60,285,93
DOA,n100066,157,1082,840,159,83,72,314,104
DOA,n100067,214,1215,776,318,121,94,533,174
DOA,n100068,216,1225,729,226,270,74,570,177
DOA,n100069,158,1088,828,164,96,47,307,109
DOA,n100070,402,1394,812,348,234,86,668,281
DOA,n100072,157,1087,849,122,116,43,281,95
DOA,n100073,182,1083,813,182,88,52,322,124
DOA,n100074,172,1088,910,100,78,44,222,86
DOA,n100075,163,1106,900,129,77,58,264,95
DOA,n100076,184,1113,879,149,85,56,290,111
DOA,n100077,206,1085,805,179,101,61,341,128
DOA,n100078,148,1085,850,126,109,38,273,100
DOA,n100079,139,1058,912,60,86,15,161,52
DOA,n100080,161,1064,973,56,35,27,118,53
DOA,n100081,148,1064,906,92,66,30,188,76
DOA,n100082,180,1175,642,407,126,116,649,159
DOA,Sum,11978,74764,55810,10878,8076,3216,22170,7544
DOA,Mean,176.1,1099.5,820.7,160.0,118.8,47.3,326.0,110.9
DOA,Median,161.5,1085.0,844.5,147.5,86.0,47.0,288.5,103.5
