Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,127,1059,854,136,69,38,243,84
DT,n000161,136,1110,861,119,130,41,290,86
DT,n000162,207,1134,786,218,130,62,410,154
DT,n000163,159,1092,850,136,106,35,277,100
DT,n000165,163,1109,847,138,124,42,304,113
DT,n000166,155,1089,941,99,49,43,191,77
DT,n000167,151,1099,870,164,65,63,292,101
DT,n000168,135,1087,934,105,48,35,188,76
DT,n000169,129,1094,911,128,55,36,219,83
DT,n000170,167,1107,932,108,67,36,211,83
DT,n000171,198,1252,852,203,197,65,465,156
DT,n000172,152,1141,874,147,120,40,307,100
DT,n000173,138,1084,916,119,49,37,205,87
DT,n000174,146,1151,1005,104,42,43,189,80
DT,n000175,162,1068,896,85,87,44,216,87
DT,n000176,204,1230,878,196,156,50,402,152
DT,n000177,163,1135,900,126,109,49,284,110
DT,n000178,160,1098,694,141,263,38,442,121
DT,n000179,133,1064,887,115,62,29,206,75
DT,n000180,173,1173,947,128,98,54,280,110
DT,n000181,143,1088,867,121,100,61,282,91
DT,n000182,168,1098,871,139,88,42,269,105
DT,n000183,180,1154,904,155,95,51,301,120
DT,n000184,194,1131,874,147,110,64,321,116
DT,n000239,124,1059,820,167,72,55,294,90
DT,n000240,161,1125,883,139,103,51,293,114
DT,n000241,154,1034,826,115,93,54,262,102
DT,n000242,160,1070,867,122,81,35,238,95
DT,n000243,124,1064,862,156,46,44,246,84
DT,n000244,156,1079,865,144,70,31,245,88
DT,n000245,132,1075,849,183,43,36,262,95
DT,n000246,129,1049,877,139,33,40,212,81
DT,n000247,105,1074,851,169,54,32,255,77
DT,n000248,144,1057,823,176,58,45,279,100
DT,n000249,133,1067,922,97,48,39,184,77
DT,n000250,148,1073,837,134,102,54,290,99
DT,n000251,140,1050,902,101,47,37,185,77
DT,n000252,120,1065,765,226,74,53,353,95
DT,n000253,109,1050,872,131,47,43,221,78
DT,n000254,127,1076,905,132,39,55,226,93
DT,n000255,129,1060,960,65,35,20,120,59
DT,n000256,121,1047,900,96,51,41,188,69
DT,n000257,128,1071,846,152,73,52,277,89
DT,n000258,132,1080,799,199,82,51,332,105
DT,n000265,129,1088,873,169,46,53,268,91
DT,n000266,143,1068,860,151,57,56,264,94
DT,n000267,103,1067,832,183,52,53,288,84
DT,n000268,134,1068,918,116,34,34,184,72
DT,n000269,122,1058,929,94,35,34,163,69
DT,n000270,136,1079,873,156,50,50,256,92
DT,n000271,116,1080,952,96,32,22,150,67
DT,n000272,128,1058,937,91,30,28,149,58
DT,n000273,131,1124,915,133,76,50,259,91
DT,n000274,122,1100,912,130,58,32,220,85
DT,n000275,124,1065,925,99,41,21,161,61
DT,n000276,158,1102,841,199,62,59,320,110
DT,n000277,140,1137,890,172,75,51,298,101
DT,n000278,162,1085,593,246,246,54,546,143
DT,n000279,167,1114,831,182,101,44,327,121
DT,n000280,136,1053,886,116,51,44,211,78
DT,n000281,118,1080,824,164,92,32,288,84
DT,n000282,123,1053,938,90,25,35,150,55
DT,n000283,150,1119,973,96,50,38,184,81
DT,Sum,9061,68770,55084,8803,4883,2756,16442,5871
DT,Mean,143.8,1091.6,874.3,139.7,77.5,43.7,261.0,93.2
DT,Median,138.0,1080.0,874.0,136.0,65.0,43.0,262.0,90.0
