Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,214,1112,537,439,136,194,769,196
NnA,n000019,230,840,301,237,302,67,606,202
NnA,n000022,200,1158,427,461,270,163,894,194
NnA,n000024,301,1437,624,558,255,186,999,266
NnA,n000217,194,1112,678,177,257,44,478,140
NnA,n000218,184,1106,764,230,112,94,436,136
NnA,n000219,177,1100,593,372,135,153,660,162
NnA,n000259,319,1264,452,363,449,158,970,288
NnA,n000260,184,889,133,324,432,57,813,184
NnA,n000261,194,1230,651,411,168,152,731,174
NnA,n000262,220,1151,421,525,205,214,944,213
NnA,n000263,283,1201,686,254,261,63,578,209
NnA,n000264,301,1319,816,315,188,119,622,228
NnA,n000319,171,1076,839,145,92,43,280,103
NnA,n000320,234,1102,553,383,166,156,705,214
NnA,n000321,186,1142,704,250,188,102,540,162
NnA,n000322,350,1195,594,336,265,85,686,265
NnA,n000323,186,1090,547,358,185,138,681,167
NnA,n000324,320,1439,587,434,418,117,969,276
NnA,n000325,353,1676,680,480,516,135,1131,321
NnA,n000326,213,1077,546,276,255,86,617,182
NnA,n000327,421,1332,374,461,497,82,1040,378
NnA,n000328,236,1216,655,314,247,122,683,199
NnA,n000329,310,1438,523,374,541,101,1016,290
NnA,n000330,268,1153,560,385,208,119,712,222
NnA,n000331,352,1382,608,364,410,100,874,289
NnA,n000332,274,1241,639,260,342,77,679,222
NnA,n000333,151,1074,695,309,70,151,530,128
NnA,n000334,171,1138,556,442,140,164,746,166
NnA,n000335,188,1093,730,207,156,75,438,146
NnA,n000336,272,1195,577,340,278,132,750,230
NnA,n000337,287,1250,330,386,534,98,1018,271
NnA,n000338,347,1269,586,292,391,63,746,263
NnA,n000339,226,1169,562,407,200,144,751,208
NnA,n000340,197,1109,619,365,125,226,716,179
NnA,n000341,232,1153,531,329,293,141,763,206
NnA,n000342,193,1108,535,294,279,113,686,172
NnA,n000343,292,1292,299,413,580,97,1090,281
NnA,n000344,295,1244,420,487,337,221,1045,276
NnA,n000345,248,1103,512,389,202,113,704,213
NnA,n000346,262,1222,497,308,417,45,770,225
NnA,n000347,293,1170,667,281,222,75,578,208
NnA,n000348,260,1127,650,244,233,79,556,177
NnA,n000349,245,1144,471,444,229,195,868,227
NnA,n000350,270,1304,499,345,460,93,898,243
NnA,Sum,11304,53642,25228,15768,12646,5352,33766,9701
NnA,Mean,251.2,1192.0,560.6,350.4,281.0,118.9,750.4,215.6
NnA,Median,245.0,1158.0,562.0,358.0,255.0,113.0,731.0,209.0
