Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,243,1440,786,418,236,117,771,219
NnT,n000221,149,1098,640,320,138,95,553,135
NnT,n000222,261,1594,756,538,300,172,1010,236
NnT,n000223,214,1210,728,318,164,100,582,179
NnT,n000224,191,878,414,334,130,81,545,170
NnT,n000225,217,1212,434,413,365,99,877,205
NnT,n000226,195,1312,740,362,210,98,670,174
NnT,n000227,349,1239,525,310,404,95,809,300
NnT,n000228,250,1416,1018,244,154,96,494,181
NnT,n000229,170,1157,657,293,207,92,592,155
NnT,n000230,147,839,395,300,144,86,530,135
NnT,n000231,157,837,306,371,160,158,689,147
NnT,n000232,224,977,389,259,329,31,619,196
NnT,n000233,239,1186,692,320,174,108,602,198
NnT,n000234,259,1174,811,228,135,55,418,163
NnT,n000235,210,1298,734,268,296,52,616,177
NnT,n000236,271,1286,688,365,233,107,705,225
NnT,n000237,157,900,485,267,148,83,498,138
NnT,n000238,180,815,371,250,194,76,520,154
NnT,n000284,192,1202,618,392,192,131,715,176
NnT,n000285,169,1121,644,336,141,95,572,147
NnT,n000286,224,1202,485,356,361,121,838,209
NnT,n000287,184,1105,610,309,186,116,611,165
NnT,n000288,232,1172,440,511,221,254,986,225
NnT,n000289,214,1181,733,222,226,79,527,167
NnT,n000290,214,1151,780,221,150,77,448,163
NnT,n000291,182,1192,580,420,192,135,747,168
NnT,n000292,238,1217,690,292,235,85,612,197
NnT,n000293,245,1194,402,451,341,144,936,236
NnT,n000294,173,1093,801,181,111,81,373,118
NnT,n000295,183,1134,612,365,157,119,641,162
NnT,n000296,276,1399,792,398,209,84,691,217
NnT,n000297,232,1384,730,384,270,100,754,201
NnT,n000298,200,1183,571,411,201,109,721,185
NnT,n000299,298,1019,539,263,217,58,538,220
NnT,n000300,185,1178,551,440,187,153,780,170
NnT,n000301,259,1337,596,431,310,104,845,232
NnT,n000302,192,551,119,193,239,30,462,179
NnT,n000303,205,1209,631,277,301,80,658,179
NnT,n000304,255,1140,622,240,278,78,596,204
NnT,n000305,229,1157,617,279,261,100,640,203
NnT,n000306,230,1212,548,328,336,94,758,206
NnT,n000307,205,1163,726,251,186,76,513,162
NnT,n000308,199,1184,669,320,195,114,629,174
NnT,n000309,334,1310,549,371,390,87,848,287
NnT,n000311,132,1097,774,245,78,127,450,113
NnT,n000312,190,1113,576,353,184,123,660,173
NnT,n000313,160,1121,657,270,194,98,562,141
NnT,n000314,252,1334,730,421,183,191,795,225
NnT,n000315,204,1356,827,343,186,119,648,183
NnT,n000316,278,1300,427,345,528,101,974,264
NnT,n000317,191,891,300,252,339,78,669,182
NnT,n000318,306,1132,371,353,408,60,821,282
NnT,Sum,11545,61602,31886,17402,12314,5402,35118,10002
NnT,Mean,217.8,1162.3,601.6,328.3,232.3,101.9,662.6,188.7
NnT,Median,214.0,1181.0,618.0,320.0,207.0,98.0,641.0,179.0
