Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,47,238,114,58,66,18,142,38
DC,n000026,45,134,50,32,52,16,100,40
DC,n000027,69,272,147,71,54,27,152,51
DC,n000028,125,539,329,158,52,49,259,96
DC,n000029,63,214,159,43,12,6,61,29
DC,n000030,84,244,149,52,43,12,107,47
DC,n000031,80,343,283,36,24,13,73,31
DC,n000032,50,141,90,31,20,13,64,35
DC,n000033,51,159,96,42,21,7,70,32
DC,n000034,56,222,99,77,46,21,144,50
DC,n000036,52,163,96,41,26,6,73,34
DC,n000037,61,193,98,65,30,15,110,40
DC,n000038,90,293,166,64,63,28,155,61
DC,n000039,49,159,81,44,34,11,89,37
DC,n000040,63,253,172,53,28,20,101,49
DC,n000041,80,397,231,112,54,34,200,66
DC,n000042,56,178,111,51,16,15,82,42
DC,n000043,84,438,301,76,61,35,172,67
DC,n000044,37,140,102,22,16,10,48,25
DC,n000045,38,166,121,29,16,15,60,25
DC,n000046,42,150,94,36,20,10,66,28
DC,n000047,76,406,309,60,37,37,134,50
DC,n000048,40,168,74,51,43,14,108,38
DC,n000049,48,185,120,52,13,28,93,30
DC,n000050,48,213,152,33,28,17,78,34
DC,n000051,53,229,168,46,15,21,82,35
DC,n000052,58,204,147,38,19,23,80,31
DC,n000053,56,348,264,58,26,35,119,42
DC,n000054,87,448,359,59,30,39,128,55
DC,n000055,62,184,101,51,32,10,93,40
DC,n000056,63,240,174,44,22,28,94,41
DC,n000057,104,355,163,96,96,33,225,92
DC,n000058,71,315,219,54,42,24,120,49
DC,n000059,53,187,61,79,47,19,145,52
DC,n000060,93,461,369,56,36,32,124,57
DC,n000061,50,209,143,33,33,12,78,33
DC,n000062,43,144,81,31,32,10,73,27
DC,n000063,53,235,112,57,66,21,144,47
DC,n000064,79,384,204,93,87,31,211,62
DC,n000065,45,144,85,40,19,20,79,34
DC,n000066,46,185,151,30,4,16,50,28
DC,n000067,53,258,198,41,19,23,83,32
DC,n000068,58,225,153,52,20,22,94,39
DC,n000069,51,217,149,54,14,30,98,37
DC,n000070,55,192,93,54,45,26,125,37
DC,n000071,55,215,149,39,27,14,80,32
DC,n000072,48,227,137,40,50,18,108,35
DC,n000073,45,160,95,27,38,9,74,33
DC,n000074,41,158,112,27,19,14,60,24
DC,n000193,39,164,137,21,6,14,41,17
DC,n000194,42,247,137,45,65,18,128,37
DC,n000196,76,408,242,89,77,39,205,67
DC,n000197,40,178,143,22,13,11,46,17
DC,n000198,61,330,213,51,66,18,135,42
DC,n000199,44,180,122,39,19,14,72,25
DC,n000200,41,209,147,34,28,18,80,32
DC,n000201,46,163,48,37,78,5,120,40
DC,n000202,55,244,162,47,35,17,99,35
DC,n000203,44,145,70,39,36,16,91,33
DC,n000204,46,114,57,32,25,8,65,28
DC,n000205,40,133,69,39,25,5,69,30
DC,n000206,40,157,125,21,11,8,40,19
DC,n000207,38,150,93,31,26,10,67,31
DC,n000208,41,138,41,37,60,4,101,37
DC,n000209,49,168,71,48,49,12,109,43
DC,n000210,39,121,54,40,27,6,73,33
DC,n000211,39,151,93,32,26,7,65,26
DC,n000212,43,150,57,41,52,4,97,40
DC,n000213,46,178,61,59,58,21,138,44
DC,n000214,51,160,102,40,18,14,72,42
DC,n000215,39,133,90,26,17,11,54,23
DC,Sum,3955,15953,9965,3458,2530,1287,7275,2810
DC,Mean,55.7,224.7,140.4,48.7,35.6,18.1,102.5,39.6
DC,Median,51.0,192.0,122.0,43.0,30.0,16.0,93.0,37.0
