Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,65,263,165,50,48,16,114,46
DOA,n100004,184,1190,894,156,140,66,362,115
DOA,n100005,48,112,37,44,31,6,81,37
DOA,n100007,195,1069,777,166,126,70,362,134
DOA,n100008,95,503,294,80,129,29,238,71
DOA,n100009,62,275,140,71,64,25,160,56
DOA,n100015,47,227,133,44,50,15,109,38
DOA,n100017,95,498,376,68,54,45,167,66
DOA,n100018,59,292,250,23,19,12,54,26
DOA,n100019,72,289,201,53,35,20,108,47
DOA,n100020,60,179,99,42,38,20,100,47
DOA,n100021,66,324,264,42,18,23,83,37
DOA,n100022,55,262,183,38,41,12,91,32
DOA,n100023,61,163,100,40,23,14,77,45
DOA,n100024,43,142,86,26,30,9,65,28
DOA,n100025,72,275,226,27,22,12,61,33
DOA,n100029,106,531,357,142,32,64,238,78
DOA,n100030,206,998,758,137,103,46,286,120
DOA,n100031,407,3377,2208,792,377,252,1421,352
DOA,n100032,239,1040,544,333,163,87,583,201
DOA,n100034,75,341,236,48,57,15,120,39
DOA,n100035,281,1391,878,184,329,44,557,173
DOA,n100036,143,859,739,67,53,32,152,67
DOA,n100037,239,1353,722,202,429,55,686,190
DOA,n100038,70,307,200,64,43,14,121,38
DOA,n100039,190,877,503,218,156,55,429,156
DOA,n100040,73,327,162,77,88,16,181,63
DOA,n100041,57,202,110,51,41,14,106,47
DOA,n100042,87,331,206,75,50,23,148,61
DOA,n100043,156,919,712,97,110,34,241,91
DOA,n100044,66,221,140,42,39,16,97,47
DOA,n100045,150,872,574,164,134,27,325,107
DOA,n100046,83,474,286,108,80,28,216,67
DOA,n100047,123,525,327,124,74,43,241,85
DOA,n100048,159,1036,287,253,496,38,787,152
DOA,n100049,187,998,412,272,314,54,640,163
DOA,n100050,206,1511,936,409,166,155,730,183
DOA,n100051,249,1553,787,479,287,97,863,209
DOA,n100052,63,292,183,51,58,12,121,46
DOA,n100053,90,442,350,40,52,18,110,50
DOA,n100054,238,1373,848,158,367,75,600,174
DOA,n100055,176,1002,759,133,110,58,301,110
DOA,n100056,84,410,294,47,69,14,130,47
DOA,n100057,97,453,256,119,78,40,237,77
DOA,n100058,203,1005,690,172,143,48,363,138
DOA,n100059,74,395,296,36,63,20,119,40
DOA,n100060,53,177,71,43,63,9,115,42
DOA,n100061,205,1017,717,180,120,68,368,134
DOA,n100062,116,476,249,136,91,64,291,100
DOA,n100063,77,336,218,72,46,22,140,49
DOA,n100064,104,473,294,89,90,36,215,70
DOA,n100065,124,613,418,111,84,33,228,87
DOA,n100066,152,1000,605,185,210,64,459,123
DOA,n100067,61,208,102,67,39,10,116,47
DOA,n100068,184,1077,623,238,216,67,521,150
DOA,n100069,130,759,467,166,126,42,334,99
DOA,n100070,203,887,496,239,152,65,456,161
DOA,n100072,55,222,135,40,47,11,98,37
DOA,n100073,76,218,83,61,74,13,148,58
DOA,n100074,107,446,319,63,64,21,148,64
DOA,n100075,98,302,214,61,27,25,113,56
DOA,n100076,258,1446,926,315,205,88,608,188
DOA,n100077,177,988,652,233,103,74,410,119
DOA,n100078,107,579,444,70,65,34,169,72
DOA,n100079,63,209,88,51,70,11,132,54
DOA,n100080,215,1088,857,132,99,79,310,129
DOA,n100081,139,701,514,89,98,49,236,91
DOA,n100082,219,1019,545,320,154,100,574,181
DOA,Sum,8779,45719,29022,9025,7672,2873,19570,6340
DOA,Mean,129.1,672.3,426.8,132.7,112.8,42.3,287.8,93.2
DOA,Median,105.0,487.0,307.5,84.5,76.0,32.5,215.5,70.5
