Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,37,136,91,26,19,3,48,22
DT,n000161,62,354,285,44,25,26,95,40
DT,n000162,39,123,76,28,19,10,57,28
DT,n000163,37,127,84,24,19,5,48,23
DT,n000165,37,122,86,23,13,16,52,25
DT,n000166,38,131,107,18,6,5,29,13
DT,n000167,49,189,119,57,13,25,95,38
DT,n000168,38,114,71,23,20,6,49,22
DT,n000169,39,127,85,15,27,11,53,23
DT,n000170,50,238,187,23,28,5,56,20
DT,n000171,41,181,98,43,40,11,94,31
DT,n000172,37,129,108,18,3,6,27,16
DT,n000173,37,146,120,19,7,10,36,14
DT,n000174,52,286,242,33,11,22,66,24
DT,n000175,43,196,161,26,9,8,43,23
DT,n000176,39,156,101,37,18,14,69,25
DT,n000177,41,110,66,26,18,8,52,24
DT,n000178,36,121,57,29,35,9,73,27
DT,n000179,40,164,127,23,14,10,47,18
DT,n000180,62,198,139,40,19,16,75,42
DT,n000181,42,152,67,41,44,14,99,38
DT,n000182,42,159,115,31,13,25,69,27
DT,n000183,51,245,190,38,17,19,74,31
DT,n000184,40,109,80,21,8,11,40,19
DT,n000239,39,231,173,44,14,28,86,27
DT,n000240,39,129,95,23,11,8,42,22
DT,n000241,59,329,273,44,12,32,88,32
DT,n000242,37,123,77,22,24,3,49,23
DT,n000243,47,140,97,29,14,8,51,27
DT,n000244,38,122,89,20,13,11,44,20
DT,n000245,47,139,87,25,27,12,64,29
DT,n000246,38,117,73,22,22,9,53,24
DT,n000247,61,303,189,69,45,21,135,46
DT,n000248,41,145,103,28,14,19,61,25
DT,n000249,57,284,195,57,32,22,111,39
DT,n000250,43,148,88,22,38,11,71,24
DT,n000251,54,175,110,41,24,8,73,37
DT,n000252,45,199,135,46,18,14,78,30
DT,n000253,36,105,66,19,20,15,54,21
DT,n000254,41,192,140,32,20,16,68,25
DT,n000255,40,135,94,27,14,6,47,18
DT,n000256,37,127,64,26,37,6,69,28
DT,n000257,36,96,68,21,7,16,44,21
DT,n000258,36,106,81,17,8,18,43,19
DT,n000265,38,133,87,28,18,23,69,19
DT,n000266,37,147,117,22,8,17,47,21
DT,n000267,44,233,167,49,17,25,91,31
DT,n000268,36,121,97,11,13,3,27,15
DT,n000269,35,113,98,12,3,12,27,15
DT,n000270,55,323,216,46,61,16,123,38
DT,n000271,45,140,119,14,7,10,31,17
DT,n000272,56,169,113,35,21,10,66,31
DT,n000273,68,329,254,43,32,22,97,39
DT,n000274,37,146,97,33,16,14,63,31
DT,n000275,36,93,66,18,9,6,33,21
DT,n000276,40,149,118,14,17,2,33,16
DT,n000277,44,152,102,40,10,11,61,33
DT,n000278,62,291,135,68,88,17,173,52
DT,n000279,38,188,131,46,11,10,67,25
DT,n000280,41,150,109,28,13,11,52,24
DT,n000281,36,116,79,24,13,12,49,24
DT,n000282,39,143,109,20,14,11,45,19
DT,n000283,36,125,108,8,9,6,23,12
DT,Sum,2723,10619,7481,1899,1239,816,3954,1633
DT,Mean,43.2,168.6,118.7,30.1,19.7,13.0,62.8,25.9
DT,Median,40.0,146.0,103.0,26.0,17.0,11.0,56.0,24.0
