Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,146,492,175,206,111,61,378,133
NnA,n000019,113,398,120,155,123,59,337,94
NnA,n000022,77,312,151,82,79,39,200,64
NnA,n000024,89,409,177,107,125,27,259,79
NnA,n000216,96,364,164,133,67,90,290,88
NnA,n000217,63,238,146,45,47,9,101,40
NnA,n000218,131,472,266,129,77,47,253,90
NnA,n000219,64,274,145,106,23,54,183,56
NnA,n000259,121,456,129,120,207,50,377,116
NnA,n000260,76,367,102,153,112,45,310,72
NnA,n000261,180,995,572,348,75,169,592,155
NnA,n000262,54,191,73,74,44,40,158,46
NnA,n000263,54,209,148,30,31,11,72,30
NnA,n000264,109,382,165,140,77,43,260,79
NnA,n000319,151,822,532,186,104,85,375,130
NnA,n000320,128,529,249,199,81,86,366,100
NnA,n000321,131,740,466,167,107,70,344,110
NnA,n000322,272,901,464,279,158,112,549,217
NnA,n000323,108,457,178,123,156,31,310,95
NnA,n000324,298,1259,562,432,265,175,872,262
NnA,n000325,247,1285,537,447,301,162,910,231
NnA,n000326,160,580,369,141,70,80,291,116
NnA,n000327,69,171,70,77,24,29,130,56
NnA,n000328,116,452,217,146,89,50,285,99
NnA,n000329,785,3077,1514,902,661,399,1962,677
NnA,n000330,91,234,103,84,47,18,149,67
NnA,n000331,79,218,92,73,53,33,159,63
NnA,n000332,86,444,244,113,87,45,245,76
NnA,n000333,52,189,85,55,49,9,113,41
NnA,n000334,123,628,306,217,105,60,382,102
NnA,n000335,381,1298,785,296,217,94,607,269
NnA,n000336,76,183,97,55,31,29,115,57
NnA,n000338,198,868,439,230,199,111,540,168
NnA,n000339,108,444,245,142,57,82,281,98
NnA,n000340,149,588,308,160,120,51,331,119
NnA,n000341,100,326,131,95,100,41,236,86
NnA,n000342,150,662,339,174,149,66,389,128
NnA,n000343,148,562,137,183,242,46,471,142
NnA,n000344,153,670,302,237,131,118,486,131
NnA,n000345,256,844,374,251,219,74,544,198
NnA,n000346,98,368,135,105,128,49,282,77
NnA,n000347,57,234,147,58,29,17,104,35
NnA,n000348,71,275,143,51,81,15,147,47
NnA,n000349,122,493,144,208,141,64,413,117
NnA,n000350,472,2192,865,614,713,175,1502,443
NnA,Sum,6808,27552,13112,8328,6112,3220,17660,5699
NnA,Mean,151.3,612.3,291.4,185.1,135.8,71.6,392.4,126.6
NnA,Median,116.0,456.0,177.0,142.0,104.0,51.0,310.0,98.0
