Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,49,166,85,58,23,32,113,35
NnT,n000221,55,186,109,59,18,28,105,42
NnT,n000222,46,199,108,72,19,45,136,41
NnT,n000223,58,241,130,50,61,14,125,44
NnT,n000224,45,136,53,51,32,21,104,37
NnT,n000225,49,200,75,80,45,31,156,43
NnT,n000226,42,142,75,56,11,24,91,37
NnT,n000227,105,401,231,90,80,42,212,83
NnT,n000228,52,199,133,38,28,12,78,41
NnT,n000229,46,193,116,34,43,20,97,35
NnT,n000230,37,107,51,32,24,11,67,29
NnT,n000231,37,143,61,39,43,20,102,35
NnT,n000232,157,744,333,219,192,66,477,134
NnT,n000233,39,115,69,29,17,17,63,28
NnT,n000234,44,151,102,38,11,12,61,26
NnT,n000235,49,275,162,78,35,23,136,42
NnT,n000236,57,180,103,58,19,29,106,45
NnT,n000237,48,168,96,55,17,25,97,36
NnT,n000238,57,198,113,50,35,23,108,43
NnT,n000284,36,120,51,41,28,28,97,31
NnT,n000285,45,162,85,57,20,22,99,38
NnT,n000286,49,133,45,61,27,17,105,43
NnT,n000287,65,332,226,68,38,49,155,53
NnT,n000288,58,180,62,78,40,33,151,51
NnT,n000289,57,202,111,69,22,20,111,47
NnT,n000290,50,149,76,54,19,16,89,39
NnT,n000291,77,263,105,84,74,25,183,65
NnT,n000292,85,320,194,78,48,48,174,71
NnT,n000293,44,143,48,62,33,16,111,41
NnT,n000294,39,108,57,33,18,9,60,27
NnT,n000295,45,151,70,39,42,11,92,31
NnT,n000296,57,190,106,55,29,17,101,39
NnT,n000297,68,285,166,82,37,30,149,52
NnT,n000298,50,152,79,45,28,14,87,32
NnT,n000299,46,152,82,43,27,26,96,34
NnT,n000300,39,119,36,49,34,15,98,30
NnT,n000301,57,166,43,69,54,33,156,55
NnT,n000302,78,235,92,89,54,47,190,60
NnT,n000303,75,324,174,89,61,46,196,59
NnT,n000304,53,151,80,48,23,14,85,40
NnT,n000305,48,157,74,48,35,14,97,36
NnT,n000306,64,261,138,70,53,23,146,47
NnT,n000307,64,369,222,73,74,29,176,48
NnT,n000308,59,234,142,60,32,24,116,48
NnT,n000309,85,308,168,85,55,23,163,59
NnT,n000311,56,212,108,65,39,32,136,50
NnT,n000312,42,163,67,52,44,11,107,38
NnT,n000313,51,196,119,47,30,28,105,39
NnT,n000314,153,569,234,226,109,93,428,137
NnT,n000315,48,123,52,51,20,18,89,40
NnT,n000316,71,287,115,74,98,26,198,60
NnT,n000317,62,165,63,63,39,42,144,53
NnT,n000318,45,118,37,55,26,15,96,43
NnT,Sum,3093,11343,5732,3448,2163,1409,7020,2492
NnT,Mean,58.4,214.0,108.2,65.1,40.8,26.6,132.5,47.0
NnT,Median,51.0,180.0,96.0,58.0,34.0,23.0,107.0,42.0
