Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,161,854,514,181,159,52,392,124
DC,n000026,216,881,491,190,200,65,455,180
DC,n000027,174,768,493,161,114,82,357,127
DC,n000028,185,879,591,190,98,66,354,133
DC,n000029,233,1144,907,127,110,45,282,117
DC,n000030,222,1281,994,176,111,71,358,146
DC,n000031,242,918,715,107,96,40,243,112
DC,n000032,166,858,542,193,123,51,367,121
DC,n000033,134,745,511,138,96,52,286,97
DC,n000034,164,748,470,131,147,45,323,110
DC,n000036,162,732,333,221,178,68,467,140
DC,n000037,155,898,576,229,93,85,407,127
DC,n000038,171,848,518,195,135,75,405,128
DC,n000039,223,1188,830,226,132,59,417,149
DC,n000040,168,1191,897,211,83,86,380,124
DC,n000041,162,1160,859,190,111,68,369,124
DC,n000042,167,1152,916,166,70,59,295,112
DC,n000043,160,1150,877,198,75,79,352,112
DC,n000044,215,1370,1148,140,82,35,257,108
DC,n000045,177,1363,888,307,168,96,571,144
DC,n000046,190,1395,1056,263,76,78,417,145
DC,n000047,192,1171,729,178,264,43,485,146
DC,n000048,172,1176,703,258,215,75,548,146
DC,n000049,138,1074,747,210,117,83,410,115
DC,n000050,227,1432,1050,212,170,80,462,160
DC,n000051,206,1187,965,141,81,83,305,133
DC,n000052,184,1185,909,208,68,92,368,131
DC,n000053,190,1136,916,149,71,55,275,112
DC,n000054,286,1548,1243,195,110,60,365,157
DC,n000055,176,769,540,163,66,48,277,115
DC,n000056,139,738,529,115,94,31,240,89
DC,n000057,122,781,390,170,221,57,448,106
DC,n000058,135,684,404,126,154,40,320,99
DC,n000059,117,607,252,213,142,65,420,109
DC,n000060,143,930,702,124,104,41,269,100
DC,n000061,213,1129,900,141,88,61,290,120
DC,n000062,138,1110,769,224,117,83,424,115
DC,n000063,140,858,645,132,81,64,277,94
DC,n000064,163,1147,820,171,156,71,398,124
DC,n000065,131,850,572,159,119,55,333,104
DC,n000066,110,766,601,115,50,37,202,76
DC,n000067,209,1255,719,311,225,98,634,179
DC,n000068,155,871,575,163,133,61,357,118
DC,n000069,115,537,337,128,72,33,233,89
DC,n000070,203,714,405,170,139,51,360,162
DC,n000071,180,1192,665,382,145,135,662,162
DC,n000072,147,1134,897,144,93,43,280,93
DC,n000073,111,761,574,71,116,39,226,74
DC,n000074,232,1405,1089,209,107,76,392,145
DC,n000193,196,1377,1006,276,95,89,460,146
DC,n000194,221,1170,663,251,256,65,572,183
DC,n000195,234,1409,956,237,216,109,562,178
DC,n000196,179,1383,1082,202,99,46,347,118
DC,n000197,238,1408,1099,176,133,76,385,150
DC,n000198,203,1396,988,238,170,73,481,154
DC,n000199,180,1174,953,157,64,40,261,108
DC,n000200,191,1266,782,293,191,103,587,165
DC,n000201,222,1233,679,302,252,106,660,193
DC,n000202,188,912,621,134,157,58,349,126
DC,n000203,251,1127,757,184,186,48,418,160
DC,n000205,253,1217,654,281,282,91,654,207
DC,n000206,186,1410,941,301,168,90,559,147
DC,n000207,181,1357,847,339,171,105,615,157
DC,n000208,258,1174,288,423,463,131,1017,253
DC,n000209,217,1134,746,228,160,125,513,172
DC,n000210,179,841,594,135,112,43,290,107
DC,n000211,252,758,452,174,132,48,354,158
DC,n000212,176,865,427,199,239,82,520,148
DC,n000213,182,910,487,188,235,84,507,157
DC,n000214,191,939,626,187,126,69,382,140
DC,n000215,205,1189,716,223,250,67,540,171
DC,Sum,13104,75319,51137,14050,10132,4865,29047,9551
DC,Mean,184.6,1060.8,720.2,197.9,142.7,68.5,409.1,134.5
DC,Median,181.0,1134.0,715.0,190.0,126.0,66.0,382.0,128.0
