Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,194,1051,767,164,120,59,343,121
DOA,n100004,174,1069,863,105,101,28,234,93
DOA,n100005,136,1074,839,167,68,42,277,103
DOA,n100007,157,1048,833,152,63,48,263,105
DOA,n100008,159,1114,877,156,81,54,291,110
DOA,n100009,153,1089,787,182,120,76,378,115
DOA,n100015,164,1053,865,106,82,32,220,83
DOA,n100017,159,1048,909,76,63,34,173,67
DOA,n100018,141,1043,958,65,20,31,116,52
DOA,n100019,153,1076,940,95,41,41,177,78
DOA,n100020,175,1050,877,120,53,52,225,86
DOA,n100021,145,1056,974,54,28,22,104,45
DOA,n100022,132,1076,916,111,49,42,202,75
DOA,n100023,146,1058,873,101,84,43,228,83
DOA,n100024,136,1051,882,129,40,30,199,84
DOA,n100025,174,1057,933,80,44,38,162,62
DOA,n100029,158,1157,809,274,74,95,443,126
DOA,n100030,187,1075,813,157,105,73,335,115
DOA,n100031,162,1107,769,210,128,69,407,120
DOA,n100032,232,1170,718,235,217,69,521,160
DOA,n100034,160,1063,925,102,36,40,178,78
DOA,n100035,235,1118,773,147,198,49,394,144
DOA,n100036,161,1062,944,68,50,31,149,65
DOA,n100037,199,1115,721,167,227,43,437,128
DOA,n100038,147,1093,891,129,73,43,245,85
DOA,n100039,164,1123,906,157,60,55,272,97
DOA,n100040,153,1073,799,130,144,44,318,101
DOA,n100041,203,1100,643,176,281,37,494,146
DOA,n100042,160,1090,890,132,68,38,238,93
DOA,n100043,182,1068,929,62,77,15,154,55
DOA,n100044,140,1062,863,157,42,46,245,94
DOA,n100045,151,1099,905,145,49,44,238,88
DOA,n100046,152,1057,699,169,189,52,410,116
DOA,n100047,488,1395,691,437,267,104,808,359
DOA,n100048,212,1159,318,410,431,94,935,203
DOA,n100049,179,1111,525,294,292,87,673,155
DOA,n100050,176,1085,779,228,78,64,370,134
DOA,n100051,168,1114,661,280,173,90,543,141
DOA,n100052,193,1182,908,122,152,38,312,102
DOA,n100053,154,1063,903,84,76,31,191,69
DOA,n100054,196,1054,713,105,236,30,371,115
DOA,n100055,164,1058,944,57,57,30,144,55
DOA,n100056,163,1046,953,47,46,20,113,48
DOA,n100057,153,1114,731,249,134,80,463,126
DOA,n100058,231,1160,839,226,95,73,394,143
DOA,n100059,132,1055,936,72,47,30,149,64
DOA,n100060,168,1112,873,155,84,60,299,108
DOA,n100061,166,1092,856,126,110,35,271,84
DOA,n100062,154,1061,813,177,71,62,310,104
DOA,n100063,145,1093,778,213,102,69,384,111
DOA,n100064,152,1088,838,137,113,40,290,97
DOA,n100065,153,1065,842,143,80,69,292,94
DOA,n100066,157,1082,843,149,90,62,301,98
DOA,n100067,214,1215,813,311,91,106,508,166
DOA,n100068,216,1225,861,220,144,96,460,161
DOA,n100069,158,1088,860,169,59,65,293,101
DOA,n100070,402,1394,713,367,314,109,790,293
DOA,n100072,157,1087,858,135,94,44,273,96
DOA,n100073,182,1083,807,183,93,51,327,115
DOA,n100074,172,1088,955,94,39,46,179,83
DOA,n100075,163,1106,918,119,69,56,244,90
DOA,n100076,184,1113,843,163,107,72,342,121
DOA,n100077,206,1085,835,173,77,74,324,126
DOA,n100078,148,1085,878,106,101,27,234,93
DOA,n100079,139,1058,958,54,46,23,123,50
DOA,n100080,161,1064,945,70,49,30,149,63
DOA,n100081,148,1064,917,78,69,23,170,66
DOA,n100082,180,1175,701,386,88,117,591,149
DOA,Sum,11978,74764,56696,10819,7249,3622,21690,7356
DOA,Mean,176.1,1099.5,833.8,159.1,106.6,53.3,319.0,108.2
DOA,Median,161.5,1085.0,859.0,146.0,81.5,46.0,290.5,99.5
