Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,127,1059,888,128,43,36,207,76
DT,n000161,136,1110,915,128,67,52,247,85
DT,n000162,207,1134,809,187,138,57,382,150
DT,n000163,159,1092,877,143,72,47,262,99
DT,n000165,163,1109,868,127,114,61,302,109
DT,n000166,155,1089,933,112,44,54,210,82
DT,n000167,151,1099,898,150,51,62,263,91
DT,n000168,135,1087,946,98,43,42,183,67
DT,n000169,129,1094,909,138,47,48,233,83
DT,n000170,167,1107,949,104,54,37,195,75
DT,n000171,198,1252,856,209,187,69,465,151
DT,n000172,152,1141,880,162,99,60,321,109
DT,n000173,138,1084,941,111,32,48,191,85
DT,n000174,146,1151,1017,95,39,42,176,80
DT,n000175,162,1068,905,92,71,53,216,90
DT,n000176,204,1230,914,189,127,52,368,143
DT,n000177,163,1135,912,117,106,49,272,107
DT,n000178,160,1098,801,98,199,37,334,97
DT,n000179,133,1064,916,111,37,45,193,72
DT,n000180,173,1173,958,134,81,63,278,107
DT,n000181,143,1088,892,118,78,69,265,94
DT,n000182,168,1098,900,103,95,37,235,101
DT,n000183,180,1154,920,161,73,54,288,114
DT,n000184,194,1131,880,141,110,61,312,118
DT,n000239,124,1059,851,160,48,54,262,92
DT,n000240,161,1125,957,124,44,49,217,90
DT,n000241,154,1034,870,111,53,62,226,87
DT,n000242,160,1070,876,113,81,46,240,87
DT,n000243,124,1064,881,145,38,51,234,80
DT,n000244,156,1079,856,132,91,44,267,87
DT,n000245,132,1075,907,137,31,47,215,86
DT,n000246,129,1049,908,119,22,51,192,72
DT,n000247,105,1074,888,145,41,43,229,76
DT,n000248,144,1057,825,161,71,55,287,93
DT,n000249,133,1067,949,79,39,44,162,68
DT,n000250,148,1073,876,121,76,53,250,87
DT,n000251,140,1050,931,93,26,47,166,65
DT,n000252,120,1065,775,228,62,72,362,95
DT,n000253,109,1050,884,129,37,42,208,71
DT,n000254,127,1076,938,107,31,57,195,80
DT,n000255,129,1060,958,73,29,27,129,54
DT,n000256,121,1047,909,82,56,30,168,64
DT,n000257,128,1071,851,175,45,66,286,88
DT,n000258,132,1080,804,204,72,61,337,98
DT,n000265,129,1088,897,155,36,55,246,82
DT,n000266,143,1068,900,137,31,47,215,82
DT,n000267,103,1067,863,163,41,66,270,83
DT,n000268,134,1068,900,117,51,39,207,78
DT,n000269,122,1058,917,110,31,50,191,67
DT,n000270,136,1079,875,158,46,65,269,87
DT,n000271,116,1080,967,90,23,39,152,62
DT,n000272,128,1058,963,77,18,33,128,57
DT,n000273,131,1124,927,131,66,49,246,85
DT,n000274,122,1100,920,120,60,34,214,76
DT,n000275,124,1065,950,91,24,23,138,56
DT,n000276,158,1102,850,197,55,52,304,108
DT,n000277,140,1137,924,160,53,52,265,92
DT,n000278,162,1085,648,245,192,84,521,134
DT,n000279,167,1114,861,185,68,60,313,113
DT,n000280,136,1053,895,122,36,52,210,80
DT,n000281,118,1080,841,184,55,63,302,91
DT,n000282,123,1053,945,93,15,40,148,62
DT,n000283,150,1119,1000,80,39,38,157,64
DT,Sum,9061,68770,56421,8409,3940,3177,15526,5564
DT,Mean,143.8,1091.6,895.6,133.5,62.5,50.4,246.4,88.3
DT,Median,138.0,1080.0,900.0,128.0,51.0,51.0,235.0,86.0
