Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,214,1112,518,458,136,186,780,200
NnA,n000019,230,840,251,279,310,70,659,207
NnA,n000022,200,1158,439,454,265,167,886,195
NnA,n000024,301,1437,567,634,236,199,1069,282
NnA,n000217,194,1112,728,189,195,55,439,139
NnA,n000218,184,1106,739,242,125,120,487,136
NnA,n000219,177,1100,621,376,103,188,667,161
NnA,n000259,319,1264,417,364,483,149,996,293
NnA,n000260,184,889,123,353,413,68,834,184
NnA,n000261,194,1230,680,416,134,169,719,175
NnA,n000262,220,1151,465,534,152,275,961,207
NnA,n000263,283,1201,680,280,241,70,591,213
NnA,n000264,301,1319,780,338,201,166,705,241
NnA,n000319,171,1076,828,163,85,81,329,122
NnA,n000320,234,1102,552,402,148,169,719,210
NnA,n000321,186,1142,686,263,193,118,574,167
NnA,n000322,350,1195,602,322,271,99,692,260
NnA,n000323,186,1090,520,355,215,128,698,175
NnA,n000324,320,1439,552,504,383,120,1007,293
NnA,n000325,353,1676,631,503,542,126,1171,322
NnA,n000326,213,1077,583,282,212,121,615,188
NnA,n000327,421,1332,434,508,390,131,1029,379
NnA,n000328,236,1216,699,334,183,143,660,197
NnA,n000329,310,1438,564,440,434,172,1046,290
NnA,n000330,268,1153,558,409,186,153,748,227
NnA,n000331,352,1382,613,414,355,119,888,297
NnA,n000332,274,1241,507,266,468,63,797,237
NnA,n000333,151,1074,709,298,67,161,526,129
NnA,n000334,171,1138,558,465,115,188,768,165
NnA,n000335,188,1093,734,228,131,89,448,154
NnA,n000336,272,1195,594,392,209,205,806,233
NnA,n000337,287,1250,348,437,465,114,1016,274
NnA,n000338,347,1269,536,292,441,74,807,276
NnA,n000339,226,1169,566,442,161,173,776,214
NnA,n000340,197,1109,620,384,105,219,708,174
NnA,n000341,232,1153,576,335,242,156,733,206
NnA,n000342,193,1108,514,320,274,129,723,178
NnA,n000343,292,1292,347,465,480,165,1110,279
NnA,n000344,295,1244,415,545,284,250,1079,282
NnA,n000345,248,1103,497,408,198,130,736,221
NnA,n000346,262,1222,485,332,405,75,812,231
NnA,n000347,293,1170,642,284,244,110,638,215
NnA,n000348,260,1127,564,257,306,74,637,187
NnA,n000349,245,1144,429,467,248,195,910,232
NnA,n000350,270,1304,472,404,428,110,942,248
NnA,Sum,11304,53642,24943,16837,11862,6242,34941,9895
NnA,Mean,251.2,1192.0,554.3,374.2,263.6,138.7,776.5,219.9
NnA,Median,245.0,1158.0,564.0,376.0,241.0,130.0,748.0,213.0
