Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,243,1440,777,431,232,156,819,218
NnT,n000221,149,1098,627,325,146,107,578,136
NnT,n000222,261,1594,760,548,286,162,996,243
NnT,n000223,214,1210,714,326,170,106,602,187
NnT,n000224,191,878,423,340,115,91,546,168
NnT,n000225,217,1212,434,454,324,128,906,207
NnT,n000226,195,1312,717,360,235,129,724,174
NnT,n000227,349,1239,608,304,327,146,777,301
NnT,n000228,250,1416,990,247,179,98,524,182
NnT,n000229,170,1157,624,333,200,113,646,160
NnT,n000230,147,839,407,313,119,101,533,131
NnT,n000231,157,837,343,374,120,174,668,147
NnT,n000232,224,977,384,264,329,50,643,203
NnT,n000233,239,1186,700,316,170,127,613,194
NnT,n000234,259,1174,791,252,131,74,457,180
NnT,n000235,210,1298,758,257,283,64,604,179
NnT,n000236,271,1286,698,364,224,115,703,223
NnT,n000237,157,900,524,267,109,99,475,135
NnT,n000238,180,815,384,264,167,104,535,156
NnT,n000284,192,1202,612,442,148,175,765,180
NnT,n000285,169,1121,629,368,124,126,618,147
NnT,n000286,224,1202,540,406,256,160,822,210
NnT,n000287,184,1105,615,348,142,128,618,161
NnT,n000288,232,1172,436,553,183,303,1039,225
NnT,n000289,214,1181,764,243,174,110,527,165
NnT,n000290,214,1151,757,251,143,102,496,160
NnT,n000291,182,1192,575,453,164,145,762,170
NnT,n000292,238,1217,704,300,213,123,636,198
NnT,n000293,245,1194,444,494,256,162,912,236
NnT,n000294,173,1093,749,208,136,83,427,124
NnT,n000295,183,1134,605,403,126,147,676,171
NnT,n000296,276,1399,777,430,192,123,745,224
NnT,n000297,232,1384,711,419,254,135,808,207
NnT,n000298,200,1183,545,441,197,110,748,185
NnT,n000299,298,1019,559,283,177,65,525,214
NnT,n000300,185,1178,529,473,176,167,816,176
NnT,n000301,259,1337,637,431,269,101,801,225
NnT,n000302,192,551,114,222,215,42,479,180
NnT,n000303,205,1209,636,337,236,121,694,181
NnT,n000304,255,1140,619,216,305,87,608,201
NnT,n000305,229,1157,622,323,212,143,678,202
NnT,n000306,230,1212,564,350,298,117,765,202
NnT,n000307,205,1163,799,206,158,90,454,152
NnT,n000308,199,1184,657,350,177,153,680,179
NnT,n000309,334,1310,525,404,381,95,880,296
NnT,n000311,132,1097,746,273,78,120,471,119
NnT,n000312,190,1113,576,384,153,165,702,170
NnT,n000313,160,1121,707,296,118,139,553,143
NnT,n000314,252,1334,718,440,176,203,819,231
NnT,n000315,204,1356,873,350,133,125,608,182
NnT,n000316,278,1300,433,358,509,114,981,264
NnT,n000317,191,891,328,245,318,105,668,180
NnT,n000318,306,1132,361,386,385,109,880,284
NnT,Sum,11545,61602,32129,18425,11048,6537,36010,10068
NnT,Mean,217.8,1162.3,606.2,347.6,208.5,123.3,679.4,190.0
NnT,Median,214.0,1181.0,622.0,348.0,179.0,120.0,668.0,181.0
