Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,47,238,121,45,72,18,135,35
DC,n000026,45,134,73,29,32,14,75,36
DC,n000027,69,272,160,62,50,26,138,48
DC,n000028,125,539,337,124,78,34,236,92
DC,n000029,63,214,170,24,20,4,48,22
DC,n000030,84,244,158,41,45,12,98,41
DC,n000031,80,343,281,29,33,11,73,29
DC,n000032,50,141,70,23,48,3,74,27
DC,n000033,51,159,96,30,33,6,69,31
DC,n000034,56,222,99,53,70,13,136,49
DC,n000036,52,163,116,30,17,8,55,32
DC,n000037,61,193,111,56,26,10,92,45
DC,n000038,90,293,174,54,65,21,140,60
DC,n000039,49,159,75,38,46,8,92,36
DC,n000040,63,253,173,37,43,14,94,38
DC,n000041,80,397,217,89,91,32,212,60
DC,n000042,56,178,116,35,27,3,65,33
DC,n000043,84,438,306,61,71,26,158,56
DC,n000044,37,140,93,19,28,9,56,23
DC,n000045,38,166,145,12,9,11,32,16
DC,n000046,42,150,103,24,23,9,56,17
DC,n000047,76,406,283,54,69,28,151,45
DC,n000048,40,168,80,32,56,8,96,30
DC,n000049,48,185,113,39,33,28,100,34
DC,n000050,48,213,163,25,25,19,69,29
DC,n000051,53,229,172,29,28,15,72,28
DC,n000052,58,204,135,25,44,17,86,28
DC,n000053,56,348,255,44,49,28,121,36
DC,n000054,87,448,347,57,44,37,138,55
DC,n000055,62,184,107,43,34,4,81,37
DC,n000056,63,240,164,40,36,21,97,41
DC,n000057,104,355,152,78,125,20,223,84
DC,n000058,71,315,214,45,56,25,126,45
DC,n000059,53,187,72,50,65,4,119,49
DC,n000060,93,461,336,48,77,25,150,61
DC,n000061,50,209,158,37,14,20,71,32
DC,n000062,43,144,95,17,32,8,57,21
DC,n000063,53,235,131,42,62,15,119,41
DC,n000064,79,384,212,99,73,36,208,59
DC,n000065,45,144,87,26,31,6,63,30
DC,n000066,46,185,152,25,8,17,50,24
DC,n000067,53,258,208,28,22,17,67,28
DC,n000068,58,225,163,38,24,14,76,35
DC,n000069,51,217,137,37,43,11,91,34
DC,n000070,55,192,91,41,60,16,117,37
DC,n000071,55,215,155,32,28,6,66,32
DC,n000072,48,227,130,35,62,17,114,30
DC,n000073,45,160,112,20,28,8,56,27
DC,n000074,41,158,111,28,19,13,60,24
DC,n000193,39,164,128,21,15,10,46,17
DC,n000194,42,247,139,38,70,6,114,29
DC,n000196,76,408,219,77,112,24,213,62
DC,n000197,40,178,129,22,27,6,55,18
DC,n000198,61,330,207,39,84,19,142,35
DC,n000199,44,180,123,32,25,20,77,23
DC,n000200,41,209,139,33,37,14,84,31
DC,n000201,46,163,52,29,82,1,112,34
DC,n000202,55,244,173,31,40,16,87,30
DC,n000203,44,145,71,30,44,14,88,28
DC,n000204,46,114,59,20,35,4,59,21
DC,n000205,40,133,77,29,27,7,63,24
DC,n000206,40,157,129,16,12,5,33,15
DC,n000207,38,150,80,26,44,6,76,27
DC,n000208,41,138,45,28,65,4,97,33
DC,n000209,49,168,100,39,29,12,80,34
DC,n000210,39,121,63,26,32,8,66,26
DC,n000211,39,151,74,41,36,6,83,29
DC,n000212,43,150,63,34,53,13,100,35
DC,n000213,46,178,68,33,77,14,124,36
DC,n000214,51,160,100,37,23,7,67,36
DC,n000215,39,133,96,19,18,15,52,20
DC,Sum,3955,15953,10063,2729,3161,1006,6896,2525
DC,Mean,55.7,224.7,141.7,38.4,44.5,14.2,97.1,35.6
DC,Median,51.0,192.0,129.0,34.0,37.0,13.0,86.0,33.0
