Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,65,263,174,31,58,11,100,37
DOA,n100004,184,1190,876,143,171,57,371,118
DOA,n100005,48,112,39,40,33,3,76,36
DOA,n100007,195,1069,790,131,148,56,335,128
DOA,n100008,95,503,291,64,148,26,238,64
DOA,n100009,62,275,118,62,95,18,175,50
DOA,n100015,47,227,129,33,65,9,107,35
DOA,n100017,95,498,343,44,111,19,174,53
DOA,n100018,59,292,261,19,12,13,44,22
DOA,n100019,72,289,173,37,79,12,128,41
DOA,n100020,60,179,98,31,50,8,89,39
DOA,n100021,66,324,259,37,28,21,86,39
DOA,n100022,55,262,201,31,30,17,78,32
DOA,n100023,61,163,107,29,27,10,66,37
DOA,n100024,43,142,105,16,21,10,47,20
DOA,n100025,72,275,206,25,44,11,80,35
DOA,n100029,106,531,327,136,68,38,242,69
DOA,n100030,206,998,728,121,149,27,297,117
DOA,n100031,407,3377,2330,629,418,203,1250,324
DOA,n100032,239,1040,575,271,194,69,534,180
DOA,n100034,75,341,268,31,42,15,88,31
DOA,n100035,281,1391,891,164,336,32,532,153
DOA,n100036,143,859,761,56,42,30,128,57
DOA,n100037,239,1353,655,162,536,31,729,180
DOA,n100038,70,307,205,44,58,9,111,28
DOA,n100039,190,877,519,180,178,50,408,140
DOA,n100040,73,327,176,59,92,8,159,56
DOA,n100041,57,202,117,37,48,5,90,35
DOA,n100042,87,331,219,55,57,20,132,48
DOA,n100043,156,919,727,89,103,25,217,83
DOA,n100044,66,221,149,32,40,12,84,40
DOA,n100045,150,872,568,128,176,29,333,107
DOA,n100046,83,474,277,77,120,23,220,62
DOA,n100047,123,525,288,102,135,20,257,80
DOA,n100048,159,1036,239,190,607,17,814,148
DOA,n100049,187,998,364,210,424,28,662,157
DOA,n100050,206,1511,952,319,240,105,664,167
DOA,n100051,249,1553,850,396,307,77,780,198
DOA,n100052,63,292,182,39,71,5,115,40
DOA,n100053,90,442,331,32,79,9,120,41
DOA,n100054,238,1373,919,155,299,50,504,153
DOA,n100055,176,1002,805,109,88,49,246,99
DOA,n100056,84,410,309,41,60,13,114,43
DOA,n100057,97,453,254,94,105,18,217,69
DOA,n100058,203,1005,704,140,161,31,332,119
DOA,n100059,74,395,336,33,26,21,80,33
DOA,n100060,53,177,88,33,56,4,93,32
DOA,n100061,205,1017,696,159,162,57,378,123
DOA,n100062,116,476,264,104,108,45,257,90
DOA,n100063,77,336,224,57,55,13,125,48
DOA,n100064,104,473,296,81,96,24,201,61
DOA,n100065,124,613,438,83,92,19,194,78
DOA,n100066,152,1000,569,137,294,44,475,119
DOA,n100067,61,208,111,54,43,6,103,39
DOA,n100068,184,1077,637,187,253,41,481,143
DOA,n100069,130,759,483,143,133,35,311,90
DOA,n100070,203,887,558,198,131,64,393,143
DOA,n100072,55,222,135,34,53,6,93,30
DOA,n100073,76,218,116,44,58,10,112,45
DOA,n100074,107,446,311,58,77,28,163,66
DOA,n100075,98,302,209,45,48,15,108,51
DOA,n100076,258,1446,975,288,183,64,535,171
DOA,n100077,177,988,658,212,118,61,391,117
DOA,n100078,107,579,431,70,78,23,171,62
DOA,n100079,63,209,142,26,41,12,79,33
DOA,n100080,215,1088,884,101,103,68,272,115
DOA,n100081,139,701,481,82,138,28,248,77
DOA,n100082,219,1019,555,260,204,49,513,165
DOA,Sum,8779,45719,29456,7360,8903,2086,18349,5741
DOA,Mean,129.1,672.3,433.2,108.2,130.9,30.7,269.8,84.4
DOA,Median,105.0,487.0,310.0,73.5,93.5,22.0,197.5,63.0
