Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,37,136,96,23,17,10,50,18
DT,n000161,62,354,316,23,15,8,46,21
DT,n000162,39,123,92,23,8,15,46,22
DT,n000163,37,127,89,17,21,3,41,18
DT,n000165,37,122,87,16,19,10,45,21
DT,n000166,38,131,103,11,17,4,32,13
DT,n000167,49,189,113,51,25,17,93,36
DT,n000168,38,114,94,13,7,8,28,13
DT,n000169,39,127,92,12,23,7,42,16
DT,n000170,50,238,196,18,24,5,47,16
DT,n000171,41,181,90,46,45,6,97,29
DT,n000172,37,129,107,10,12,3,25,11
DT,n000173,37,146,126,13,7,8,28,12
DT,n000174,52,286,242,26,18,21,65,22
DT,n000175,43,196,166,18,12,8,38,17
DT,n000176,39,156,111,27,18,8,53,22
DT,n000177,41,110,66,16,28,4,48,19
DT,n000178,36,121,85,17,19,8,44,14
DT,n000179,40,164,122,17,25,7,49,13
DT,n000180,62,198,140,29,29,20,78,40
DT,n000181,42,152,100,20,32,16,68,25
DT,n000182,42,159,122,24,13,13,50,21
DT,n000183,51,245,190,35,20,16,71,27
DT,n000184,40,109,73,17,19,10,46,15
DT,n000239,39,231,188,27,16,19,62,25
DT,n000240,39,129,107,15,7,10,32,17
DT,n000241,59,329,267,41,21,24,86,34
DT,n000242,37,123,77,10,36,4,50,15
DT,n000243,47,140,104,18,18,0,36,18
DT,n000244,38,122,101,12,9,6,27,13
DT,n000245,47,139,103,17,19,13,49,20
DT,n000246,38,117,88,11,18,4,33,13
DT,n000247,61,303,203,52,48,13,113,41
DT,n000248,41,145,109,22,14,6,42,21
DT,n000249,57,284,211,43,30,19,92,34
DT,n000250,43,148,94,22,32,10,64,23
DT,n000251,54,175,118,29,28,8,65,28
DT,n000252,45,199,137,39,23,10,72,25
DT,n000253,36,105,79,12,14,6,32,11
DT,n000254,41,192,151,25,16,15,56,23
DT,n000255,40,135,102,17,16,3,36,15
DT,n000256,37,127,113,10,4,6,20,13
DT,n000257,36,96,73,14,9,9,32,15
DT,n000258,36,106,88,13,5,10,28,15
DT,n000265,38,133,86,20,27,13,60,19
DT,n000266,37,147,121,16,10,6,32,14
DT,n000267,44,233,169,41,23,18,82,25
DT,n000268,36,121,108,8,5,2,15,8
DT,n000269,35,113,95,12,6,15,33,16
DT,n000270,55,323,209,40,74,14,128,37
DT,n000271,45,140,114,14,12,6,32,16
DT,n000272,56,169,121,27,21,7,55,27
DT,n000273,68,329,265,33,31,19,83,33
DT,n000274,37,146,87,24,35,8,67,25
DT,n000275,36,93,71,12,10,6,28,16
DT,n000276,40,149,118,14,17,4,35,19
DT,n000277,44,152,104,29,19,8,56,29
DT,n000278,62,291,168,64,59,21,144,47
DT,n000279,38,188,132,30,26,9,65,20
DT,n000280,41,150,110,21,19,11,51,21
DT,n000281,36,116,76,26,14,5,45,17
DT,n000282,39,143,112,19,12,8,39,18
DT,n000283,36,125,113,6,6,2,14,6
DT,Sum,2723,10619,7910,1427,1282,612,3321,1313
DT,Mean,43.2,168.6,125.6,22.7,20.3,9.7,52.7,20.8
DT,Median,40.0,146.0,109.0,19.0,18.0,8.0,47.0,19.0
