Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,146,492,187,181,124,47,352,130
NnA,n000019,113,398,135,143,120,67,330,87
NnA,n000022,77,312,125,79,108,28,215,64
NnA,n000024,89,409,207,76,126,26,228,74
NnA,n000216,96,364,165,114,85,58,257,80
NnA,n000217,63,238,178,26,34,11,71,29
NnA,n000218,131,472,261,95,116,28,239,85
NnA,n000219,64,274,155,84,35,40,159,50
NnA,n000259,121,456,165,126,165,30,321,106
NnA,n000260,76,367,98,100,169,17,286,71
NnA,n000261,180,995,598,286,111,117,514,141
NnA,n000262,54,191,77,58,56,20,134,41
NnA,n000263,54,209,159,26,24,8,58,25
NnA,n000264,109,382,192,106,84,38,228,75
NnA,n000319,151,822,574,175,73,60,308,107
NnA,n000320,128,529,289,172,68,72,312,91
NnA,n000321,131,740,466,136,138,44,318,97
NnA,n000322,272,901,466,238,197,60,495,203
NnA,n000323,108,457,175,107,175,19,301,86
NnA,n000324,298,1259,603,357,299,115,771,247
NnA,n000325,247,1285,513,385,387,106,878,219
NnA,n000326,160,580,341,104,135,41,280,101
NnA,n000327,69,171,77,57,37,23,117,47
NnA,n000328,116,452,236,97,119,32,248,88
NnA,n000329,785,3077,1494,757,826,286,1869,634
NnA,n000330,91,234,117,70,47,13,130,61
NnA,n000331,79,218,106,64,48,28,140,58
NnA,n000332,86,444,261,78,105,27,210,65
NnA,n000333,52,189,90,42,57,7,106,37
NnA,n000334,123,628,322,175,131,51,357,97
NnA,n000335,381,1298,841,229,228,71,528,245
NnA,n000336,76,183,98,44,41,25,110,53
NnA,n000338,198,868,394,184,290,61,535,156
NnA,n000339,108,444,272,118,54,70,242,83
NnA,n000340,149,588,378,118,92,55,265,101
NnA,n000341,100,326,164,74,88,43,205,76
NnA,n000342,150,662,290,158,214,50,422,113
NnA,n000343,148,562,129,148,285,21,454,138
NnA,n000344,153,670,289,211,170,85,466,129
NnA,n000345,256,844,459,213,172,76,461,177
NnA,n000346,98,368,146,82,140,31,253,72
NnA,n000347,57,234,161,41,32,10,83,29
NnA,n000348,71,275,171,39,65,15,119,40
NnA,n000349,122,493,138,188,167,46,401,114
NnA,n000350,472,2192,844,447,901,100,1448,410
NnA,Sum,6808,27552,13606,6808,7138,2278,16224,5232
NnA,Mean,151.3,612.3,302.4,151.3,158.6,50.6,360.5,116.3
NnA,Median,116.0,456.0,192.0,114.0,119.0,41.0,280.0,87.0
