Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,49,166,103,40,23,20,83,30
NnT,n000221,55,186,112,48,26,25,99,40
NnT,n000222,46,199,116,56,27,26,109,37
NnT,n000223,58,241,142,38,61,12,111,37
NnT,n000224,45,136,61,38,37,18,93,34
NnT,n000225,49,200,74,67,59,10,136,39
NnT,n000226,42,142,71,49,22,15,86,35
NnT,n000227,105,401,216,68,117,33,218,77
NnT,n000228,52,199,139,35,25,13,73,35
NnT,n000229,46,193,114,30,49,9,88,30
NnT,n000230,37,107,59,24,24,7,55,23
NnT,n000231,37,143,71,45,27,16,88,29
NnT,n000232,157,744,413,180,151,62,393,120
NnT,n000233,39,115,77,23,15,8,46,23
NnT,n000234,44,151,100,29,22,10,61,25
NnT,n000235,49,275,183,68,24,14,106,39
NnT,n000236,57,180,111,44,25,16,85,34
NnT,n000237,48,168,90,41,37,25,103,36
NnT,n000238,57,198,121,30,47,17,94,34
NnT,n000284,36,120,57,31,32,7,70,26
NnT,n000285,45,162,92,48,22,20,90,34
NnT,n000286,49,133,35,54,44,6,104,45
NnT,n000287,65,332,225,55,52,36,143,50
NnT,n000288,58,180,78,53,49,25,127,45
NnT,n000289,57,202,111,53,38,13,104,43
NnT,n000290,50,149,73,42,34,7,83,35
NnT,n000291,77,263,122,69,72,19,160,56
NnT,n000292,85,320,195,54,71,26,151,57
NnT,n000293,44,143,64,45,34,10,89,34
NnT,n000294,39,108,69,27,12,8,47,22
NnT,n000295,45,151,77,33,41,6,80,26
NnT,n000296,57,190,107,45,38,10,93,38
NnT,n000297,68,285,173,60,52,22,134,49
NnT,n000298,50,152,79,43,30,12,85,32
NnT,n000299,46,152,85,35,32,18,85,33
NnT,n000300,39,119,54,33,32,15,80,27
NnT,n000301,57,166,53,55,58,8,121,51
NnT,n000302,78,235,100,79,56,35,170,62
NnT,n000303,75,324,182,72,70,28,170,57
NnT,n000304,53,151,81,36,34,7,77,37
NnT,n000305,48,157,87,36,34,10,80,30
NnT,n000306,64,261,138,54,69,12,135,44
NnT,n000307,64,369,221,59,89,29,177,44
NnT,n000308,59,234,134,54,46,13,113,48
NnT,n000309,85,308,175,71,62,21,154,61
NnT,n000311,56,212,111,50,51,16,117,43
NnT,n000312,42,163,62,43,58,13,114,35
NnT,n000313,51,196,117,41,38,17,96,36
NnT,n000314,153,569,263,188,118,74,380,129
NnT,n000315,48,123,59,36,28,10,74,34
NnT,n000316,71,287,156,67,64,18,149,50
NnT,n000317,62,165,65,45,55,19,119,48
NnT,n000318,45,118,46,43,29,11,83,37
NnT,Sum,3093,11343,6119,2762,2462,957,6181,2255
NnT,Mean,58.4,214.0,115.5,52.1,46.5,18.1,116.6,42.5
NnT,Median,51.0,180.0,100.0,45.0,38.0,15.0,99.0,37.0
