Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,161,854,428,161,265,42,468,123
DC,n000026,216,881,415,159,307,35,501,178
DC,n000027,174,768,473,146,149,45,340,112
DC,n000028,185,879,589,162,128,48,338,122
DC,n000029,233,1144,919,109,116,55,280,105
DC,n000030,222,1281,929,146,206,47,399,138
DC,n000031,242,918,696,86,136,24,246,105
DC,n000032,166,858,561,153,144,39,336,106
DC,n000033,134,745,479,96,170,24,290,92
DC,n000034,164,748,498,117,133,31,281,100
DC,n000036,162,732,362,174,196,46,416,126
DC,n000037,155,898,602,173,123,50,346,112
DC,n000038,171,848,563,154,131,50,335,115
DC,n000039,223,1188,867,165,156,35,356,136
DC,n000040,168,1191,884,185,122,75,382,115
DC,n000041,162,1160,805,166,189,48,403,118
DC,n000042,167,1152,926,134,92,56,282,102
DC,n000043,160,1150,841,167,142,54,363,118
DC,n000044,215,1370,1045,112,213,36,361,115
DC,n000045,177,1363,947,227,189,70,486,148
DC,n000046,190,1395,1041,230,124,65,419,135
DC,n000047,192,1171,725,141,305,39,485,140
DC,n000048,172,1176,521,197,458,44,699,149
DC,n000049,138,1074,742,155,177,45,377,109
DC,n000050,227,1432,1053,162,217,56,435,143
DC,n000051,206,1187,952,142,93,67,302,130
DC,n000052,184,1185,902,176,107,72,355,125
DC,n000053,190,1136,864,144,128,56,328,111
DC,n000054,286,1548,1150,200,198,45,443,157
DC,n000055,176,769,547,96,126,28,250,97
DC,n000056,139,738,525,100,113,30,243,88
DC,n000057,122,781,406,132,243,36,411,101
DC,n000058,135,684,462,99,123,22,244,83
DC,n000059,117,607,241,152,214,28,394,108
DC,n000060,143,930,642,109,179,34,322,97
DC,n000061,213,1129,911,102,116,36,254,101
DC,n000062,138,1110,739,192,179,43,414,114
DC,n000063,140,858,610,112,136,47,295,83
DC,n000064,163,1147,846,133,168,59,360,112
DC,n000065,131,850,586,122,142,44,308,96
DC,n000066,110,766,593,123,50,43,216,78
DC,n000067,209,1255,721,229,305,54,588,159
DC,n000068,155,871,606,123,142,33,298,109
DC,n000069,115,537,318,110,109,21,240,80
DC,n000070,203,714,425,137,152,29,318,143
DC,n000071,180,1192,673,325,194,91,610,151
DC,n000072,147,1134,926,112,96,44,252,86
DC,n000073,111,761,574,62,125,23,210,63
DC,n000074,232,1405,1079,192,134,55,381,146
DC,n000193,196,1377,992,237,148,72,457,137
DC,n000194,221,1170,613,201,356,33,590,168
DC,n000195,234,1409,855,180,374,56,610,173
DC,n000196,179,1383,1016,183,184,38,405,113
DC,n000197,238,1408,1084,149,175,51,375,128
DC,n000198,203,1396,902,211,283,46,540,152
DC,n000199,180,1174,956,124,94,38,256,97
DC,n000200,191,1266,767,258,241,83,582,158
DC,n000201,222,1233,611,213,409,64,686,190
DC,n000202,188,912,623,104,185,27,316,101
DC,n000203,251,1127,757,157,213,44,414,147
DC,n000205,253,1217,676,210,331,55,596,187
DC,n000206,186,1410,960,237,213,58,508,137
DC,n000207,181,1357,810,297,250,72,619,152
DC,n000208,258,1174,268,362,544,63,969,242
DC,n000209,217,1134,704,197,233,66,496,160
DC,n000210,179,841,566,114,161,30,305,97
DC,n000211,252,758,461,139,158,23,320,143
DC,n000212,176,865,394,148,323,35,506,136
DC,n000213,182,910,462,154,294,34,482,142
DC,n000214,191,939,572,134,233,43,410,131
DC,n000215,205,1189,717,182,290,59,531,154
DC,Sum,13104,75319,49975,11492,13852,3289,28633,8925
DC,Mean,184.6,1060.8,703.9,161.9,195.1,46.3,403.3,125.7
DC,Median,181.0,1134.0,696.0,154.0,175.0,45.0,377.0,122.0
