Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,194,1051,786,136,129,34,299,110
DOA,n100004,174,1069,874,100,95,25,220,90
DOA,n100005,136,1074,835,147,92,36,275,99
DOA,n100007,157,1048,847,117,84,38,239,99
DOA,n100008,159,1114,908,128,78,43,249,93
DOA,n100009,153,1089,781,142,166,35,343,105
DOA,n100015,164,1053,854,86,113,19,218,70
DOA,n100017,159,1048,900,59,89,30,178,62
DOA,n100018,141,1043,950,63,30,32,125,56
DOA,n100019,153,1076,951,82,43,29,154,76
DOA,n100020,175,1050,859,97,94,35,226,80
DOA,n100021,145,1056,989,44,23,17,84,38
DOA,n100022,132,1076,924,88,64,45,197,66
DOA,n100023,146,1058,872,99,87,34,220,82
DOA,n100024,136,1051,907,104,40,26,170,77
DOA,n100025,174,1057,943,57,57,24,138,57
DOA,n100029,158,1157,836,228,93,73,394,116
DOA,n100030,187,1075,846,124,105,55,284,105
DOA,n100031,162,1107,792,145,170,33,348,107
DOA,n100032,232,1170,684,207,279,54,540,160
DOA,n100034,160,1063,919,83,61,28,172,69
DOA,n100035,235,1118,765,121,232,31,384,129
DOA,n100036,161,1062,924,65,73,35,173,65
DOA,n100037,199,1115,652,127,336,23,486,121
DOA,n100038,147,1093,878,113,102,24,239,79
DOA,n100039,164,1123,944,103,76,35,214,81
DOA,n100040,153,1073,733,114,226,25,365,99
DOA,n100041,203,1100,615,156,329,31,516,146
DOA,n100042,160,1090,915,96,79,36,211,82
DOA,n100043,182,1068,944,63,61,20,144,57
DOA,n100044,140,1062,868,142,52,44,238,91
DOA,n100045,151,1099,909,120,70,30,220,80
DOA,n100046,152,1057,743,119,195,26,340,86
DOA,n100047,488,1395,657,358,380,71,809,343
DOA,n100048,212,1159,245,277,637,36,950,203
DOA,n100049,179,1111,545,228,338,48,614,146
DOA,n100050,176,1085,840,150,95,32,277,121
DOA,n100051,168,1114,674,238,202,55,495,134
DOA,n100052,193,1182,895,91,196,19,306,92
DOA,n100053,154,1063,930,63,70,17,150,54
DOA,n100054,196,1054,652,87,315,21,423,108
DOA,n100055,164,1058,941,50,67,32,149,52
DOA,n100056,163,1046,936,55,55,15,125,50
DOA,n100057,153,1114,751,208,155,44,407,115
DOA,n100058,231,1160,851,163,146,35,344,123
DOA,n100059,132,1055,929,75,51,33,159,63
DOA,n100060,168,1112,829,128,155,28,311,100
DOA,n100061,166,1092,857,101,134,22,257,80
DOA,n100062,154,1061,802,152,107,50,309,95
DOA,n100063,145,1093,781,179,133,52,364,110
DOA,n100064,152,1088,897,116,75,39,230,81
DOA,n100065,153,1065,828,116,121,39,276,85
DOA,n100066,157,1082,808,142,132,50,324,99
DOA,n100067,214,1215,815,261,139,67,467,159
DOA,n100068,216,1225,833,190,202,67,459,151
DOA,n100069,158,1088,874,127,87,35,249,93
DOA,n100070,402,1394,809,273,312,55,640,257
DOA,n100072,157,1087,838,91,158,20,269,82
DOA,n100073,182,1083,805,138,140,31,309,107
DOA,n100074,172,1088,933,91,64,33,188,78
DOA,n100075,163,1106,952,90,64,40,194,76
DOA,n100076,184,1113,885,123,105,58,286,107
DOA,n100077,206,1085,825,152,108,48,308,110
DOA,n100078,148,1085,842,83,160,26,269,85
DOA,n100079,139,1058,909,60,89,18,167,54
DOA,n100080,161,1064,952,54,58,33,145,59
DOA,n100081,148,1064,907,78,79,19,176,70
DOA,n100082,180,1175,738,299,138,89,526,133
DOA,Sum,11978,74764,56712,8762,9290,2482,20534,6808
DOA,Mean,176.1,1099.5,834.0,128.9,136.6,36.5,302.0,100.1
DOA,Median,161.5,1085.0,852.5,116.5,103.5,33.5,269.0,91.5
