Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,127,1059,898,106,55,20,181,67
DT,n000161,136,1110,885,107,118,39,264,84
DT,n000162,207,1134,829,154,151,44,349,135
DT,n000163,159,1092,873,119,100,41,260,95
DT,n000165,163,1109,852,106,151,32,289,98
DT,n000166,155,1089,946,90,53,39,182,76
DT,n000167,151,1099,895,150,54,49,253,88
DT,n000168,135,1087,941,90,56,32,178,68
DT,n000169,129,1094,940,111,43,43,197,72
DT,n000170,167,1107,945,87,75,29,191,74
DT,n000171,198,1252,875,137,240,57,434,136
DT,n000172,152,1141,929,110,102,31,243,90
DT,n000173,138,1084,938,90,56,38,184,79
DT,n000174,146,1151,1022,81,48,38,167,77
DT,n000175,162,1068,894,72,102,34,208,78
DT,n000176,204,1230,863,152,215,37,404,141
DT,n000177,163,1135,847,117,171,47,335,105
DT,n000178,160,1098,757,80,261,27,368,93
DT,n000179,133,1064,909,92,63,35,190,71
DT,n000180,173,1173,931,115,127,36,278,105
DT,n000181,143,1088,822,98,168,32,298,85
DT,n000182,168,1098,815,96,187,22,305,98
DT,n000183,180,1154,914,137,103,45,285,113
DT,n000184,194,1131,903,124,104,60,288,109
DT,n000239,124,1059,866,133,60,40,233,79
DT,n000240,161,1125,888,98,139,28,265,89
DT,n000241,154,1034,834,95,105,40,240,83
DT,n000242,160,1070,879,89,102,28,219,80
DT,n000243,124,1064,893,135,36,37,208,76
DT,n000244,156,1079,895,113,71,26,210,79
DT,n000245,132,1075,916,121,38,27,186,75
DT,n000246,129,1049,927,99,23,36,158,66
DT,n000247,105,1074,895,112,67,34,213,74
DT,n000248,144,1057,872,126,59,50,235,87
DT,n000249,133,1067,933,76,58,31,165,71
DT,n000250,148,1073,897,106,70,36,212,85
DT,n000251,140,1050,924,73,53,23,149,65
DT,n000252,120,1065,818,183,64,49,296,90
DT,n000253,109,1050,904,111,35,34,180,68
DT,n000254,127,1076,941,101,34,43,178,77
DT,n000255,129,1060,968,59,33,24,116,58
DT,n000256,121,1047,941,81,25,32,138,57
DT,n000257,128,1071,895,117,59,41,217,82
DT,n000258,132,1080,832,159,89,53,301,95
DT,n000265,129,1088,927,121,40,30,191,78
DT,n000266,143,1068,908,114,46,33,193,77
DT,n000267,103,1067,890,136,41,45,222,74
DT,n000268,134,1068,940,87,41,23,151,63
DT,n000269,122,1058,956,73,29,37,139,59
DT,n000270,136,1079,908,128,43,32,203,74
DT,n000271,116,1080,981,73,26,34,133,54
DT,n000272,128,1058,955,71,32,21,124,53
DT,n000273,131,1124,945,104,75,31,210,81
DT,n000274,122,1100,931,103,66,20,189,71
DT,n000275,124,1065,961,67,37,15,119,44
DT,n000276,158,1102,889,137,76,27,240,93
DT,n000277,140,1137,952,128,57,40,225,86
DT,n000278,162,1085,678,195,212,41,448,121
DT,n000279,167,1114,868,136,110,45,291,104
DT,n000280,136,1053,918,90,45,36,171,66
DT,n000281,118,1080,892,127,61,27,215,78
DT,n000282,123,1053,950,70,33,34,137,59
DT,n000283,150,1119,996,68,55,31,154,65
DT,Sum,9061,68770,56786,6836,5148,2221,14205,5173
DT,Mean,143.8,1091.6,901.4,108.5,81.7,35.3,225.5,82.1
DT,Median,138.0,1080.0,904.0,106.0,60.0,34.0,210.0,78.0
