Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,214,1112,510,398,204,161,763,197
NnA,n000019,230,840,183,213,444,38,695,212
NnA,n000022,200,1158,380,395,383,143,921,193
NnA,n000024,301,1437,580,523,334,127,984,268
NnA,n000217,194,1112,791,137,184,31,352,118
NnA,n000218,184,1106,729,185,192,76,453,128
NnA,n000219,177,1100,615,324,161,110,595,155
NnA,n000259,319,1264,434,330,500,82,912,282
NnA,n000260,184,889,81,291,517,14,822,184
NnA,n000261,194,1230,680,355,195,137,687,165
NnA,n000262,220,1151,460,406,285,143,834,201
NnA,n000263,283,1201,669,212,320,45,577,199
NnA,n000264,301,1319,788,278,253,104,635,219
NnA,n000319,171,1076,847,129,100,39,268,98
NnA,n000320,234,1102,569,323,210,126,659,196
NnA,n000321,186,1142,709,211,222,82,515,155
NnA,n000322,350,1195,570,277,348,57,682,247
NnA,n000323,186,1090,563,289,238,90,617,167
NnA,n000324,320,1439,546,379,514,73,966,271
NnA,n000325,353,1676,595,409,672,70,1151,307
NnA,n000326,213,1077,553,240,284,82,606,168
NnA,n000327,421,1332,335,419,578,65,1062,375
NnA,n000328,236,1216,678,270,268,71,609,192
NnA,n000329,310,1438,409,334,695,73,1102,287
NnA,n000330,268,1153,520,358,275,84,717,216
NnA,n000331,352,1382,567,351,464,62,877,295
NnA,n000332,274,1241,460,216,565,43,824,226
NnA,n000333,151,1074,690,250,134,114,498,123
NnA,n000334,171,1138,573,362,203,102,667,159
NnA,n000335,188,1093,745,176,172,54,402,137
NnA,n000336,272,1195,520,303,372,88,763,224
NnA,n000337,287,1250,351,313,586,60,959,261
NnA,n000338,347,1269,393,254,622,33,909,277
NnA,n000339,226,1169,556,356,257,101,714,204
NnA,n000340,197,1109,647,292,170,151,613,162
NnA,n000341,232,1153,485,278,390,85,753,201
NnA,n000342,193,1108,518,263,327,83,673,172
NnA,n000343,292,1292,261,359,672,56,1087,278
NnA,n000344,295,1244,406,426,412,168,1006,273
NnA,n000345,248,1103,490,332,281,97,710,209
NnA,n000346,262,1222,435,248,539,32,819,221
NnA,n000347,293,1170,689,214,267,46,527,188
NnA,n000348,260,1127,503,233,391,42,666,195
NnA,n000349,245,1144,424,421,299,108,828,223
NnA,n000350,270,1304,426,294,584,55,933,241
NnA,Sum,11304,53642,23933,13626,16083,3703,33412,9469
NnA,Mean,251.2,1192.0,531.8,302.8,357.4,82.3,742.5,210.4
NnA,Median,245.0,1158.0,546.0,294.0,320.0,82.0,714.0,201.0
