Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,243,1440,763,344,333,107,784,206
NnT,n000221,149,1098,634,259,205,68,532,127
NnT,n000222,261,1594,763,471,360,130,961,235
NnT,n000223,214,1210,753,276,181,77,534,168
NnT,n000224,191,878,417,279,182,72,533,162
NnT,n000225,217,1212,377,375,460,61,896,209
NnT,n000226,195,1312,726,318,268,94,680,168
NnT,n000227,349,1239,550,261,428,89,778,280
NnT,n000228,250,1416,962,208,246,64,518,167
NnT,n000229,170,1157,634,258,265,80,603,156
NnT,n000230,147,839,441,251,147,67,465,120
NnT,n000231,157,837,327,316,194,134,644,146
NnT,n000232,224,977,433,192,352,38,582,180
NnT,n000233,239,1186,741,276,169,108,553,181
NnT,n000234,259,1174,759,203,212,61,476,175
NnT,n000235,210,1298,683,229,386,29,644,168
NnT,n000236,271,1286,699,318,269,62,649,213
NnT,n000237,157,900,512,236,152,80,468,133
NnT,n000238,180,815,377,213,225,64,502,154
NnT,n000284,192,1202,613,342,247,108,697,173
NnT,n000285,169,1121,683,295,143,88,526,144
NnT,n000286,224,1202,475,326,401,81,808,210
NnT,n000287,184,1105,627,271,207,82,560,157
NnT,n000288,232,1172,486,432,254,213,899,218
NnT,n000289,214,1181,762,172,247,61,480,150
NnT,n000290,214,1151,764,166,221,55,442,147
NnT,n000291,182,1192,544,368,280,121,769,168
NnT,n000292,238,1217,663,253,301,72,626,187
NnT,n000293,245,1194,406,392,396,96,884,231
NnT,n000294,173,1093,755,162,176,65,403,112
NnT,n000295,183,1134,611,313,210,92,615,160
NnT,n000296,276,1399,824,333,242,83,658,207
NnT,n000297,232,1384,743,332,309,85,726,191
NnT,n000298,200,1183,602,361,220,74,655,171
NnT,n000299,298,1019,541,227,251,47,525,195
NnT,n000300,185,1178,561,387,230,86,703,162
NnT,n000301,259,1337,602,359,376,60,795,220
NnT,n000302,192,551,123,176,252,14,442,170
NnT,n000303,205,1209,596,232,381,52,665,174
NnT,n000304,255,1140,674,170,296,46,512,172
NnT,n000305,229,1157,646,233,278,95,606,186
NnT,n000306,230,1212,533,284,395,81,760,199
NnT,n000307,205,1163,790,148,225,45,418,130
NnT,n000308,199,1184,663,263,258,92,613,164
NnT,n000309,334,1310,579,317,414,55,786,275
NnT,n000311,132,1097,805,222,70,90,382,108
NnT,n000312,190,1113,611,309,193,103,605,166
NnT,n000313,160,1121,733,222,166,74,462,130
NnT,n000314,252,1334,795,329,210,113,652,209
NnT,n000315,204,1356,921,283,152,98,533,176
NnT,n000316,278,1300,433,288,579,67,934,250
NnT,n000317,191,891,328,205,358,57,620,166
NnT,n000318,306,1132,314,293,525,58,876,267
NnT,Sum,11545,61602,32357,14748,14497,4194,33439,9493
NnT,Mean,217.8,1162.3,610.5,278.3,273.5,79.1,630.9,179.1
NnT,Median,214.0,1181.0,627.0,276.0,251.0,77.0,615.0,171.0
