Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,47,173,112,54,7,122,183,31
DC,n000026,45,93,62,25,6,10,41,23
DC,n000027,69,221,138,67,16,28,111,39
DC,n000028,125,401,221,144,36,76,256,99
DC,n000029,63,138,110,27,1,24,52,32
DC,n000030,84,180,96,63,21,35,119,62
DC,n000031,80,263,192,59,12,29,100,47
DC,n000032,50,104,65,31,8,12,51,37
DC,n000033,51,114,57,47,10,22,79,38
DC,n000034,56,180,105,63,12,21,96,44
DC,n000036,52,117,70,39,8,20,67,34
DC,n000037,61,135,53,69,13,35,117,46
DC,n000038,90,204,114,72,18,56,146,63
DC,n000039,49,119,70,40,9,23,72,33
DC,n000040,63,196,135,45,16,22,83,43
DC,n000041,80,300,139,134,27,51,212,68
DC,n000042,56,134,74,46,14,18,78,42
DC,n000043,84,321,214,79,28,34,141,61
DC,n000044,37,105,82,16,7,2,25,15
DC,n000045,38,124,83,34,7,7,48,22
DC,n000046,42,117,77,32,8,5,45,25
DC,n000047,76,334,242,73,19,12,104,55
DC,n000048,40,122,64,47,11,13,71,30
DC,n000049,48,137,82,44,11,14,69,30
DC,n000050,48,161,118,33,10,20,63,29
DC,n000051,53,170,102,58,10,17,85,40
DC,n000052,58,145,82,52,11,23,86,40
DC,n000053,56,286,189,76,21,31,128,47
DC,n000054,87,356,255,84,17,47,148,72
DC,n000055,62,125,66,51,8,31,90,44
DC,n000056,63,169,107,49,13,25,87,44
DC,n000057,104,282,146,96,40,42,178,88
DC,n000058,71,249,177,63,9,32,104,49
DC,n000059,53,121,66,50,5,28,83,40
DC,n000060,93,367,249,89,29,41,159,75
DC,n000061,50,158,96,51,11,9,71,33
DC,n000062,43,99,68,25,6,13,44,23
DC,n000063,53,156,82,62,12,15,89,43
DC,n000064,79,285,127,122,36,84,242,62
DC,n000065,45,91,39,41,11,13,65,32
DC,n000066,46,124,75,39,10,21,70,33
DC,n000067,53,188,123,57,8,15,80,37
DC,n000068,58,157,101,47,9,25,81,47
DC,n000069,51,146,95,44,7,21,72,32
DC,n000070,55,135,80,49,6,30,85,39
DC,n000071,55,165,112,40,13,18,71,35
DC,n000072,48,175,123,34,18,16,68,33
DC,n000073,45,117,71,34,12,4,50,28
DC,n000074,41,114,83,27,4,4,35,23
DC,n000193,39,118,68,44,6,12,62,25
DC,n000194,42,192,133,46,13,12,71,30
DC,n000196,76,271,173,80,18,24,122,53
DC,n000197,40,136,113,21,2,8,31,21
DC,n000198,61,260,147,90,23,26,139,48
DC,n000199,44,122,77,40,5,16,61,29
DC,n000200,41,172,117,42,13,10,65,27
DC,n000201,46,110,59,43,8,129,180,33
DC,n000202,55,186,117,57,12,25,94,38
DC,n000203,44,88,47,36,5,139,180,31
DC,n000204,46,81,48,30,3,19,52,29
DC,n000205,40,84,59,19,6,13,38,21
DC,n000206,40,112,75,29,8,9,46,23
DC,n000207,38,107,45,52,10,11,73,31
DC,n000208,41,92,32,47,13,13,73,34
DC,n000209,49,121,66,44,11,24,79,35
DC,n000210,39,76,48,27,1,18,46,20
DC,n000211,39,117,78,32,7,5,44,20
DC,n000212,43,89,44,37,8,14,59,30
DC,n000213,46,127,56,58,13,22,93,39
DC,n000214,51,122,91,23,8,8,39,26
DC,n000215,39,85,43,32,10,8,50,29
DC,Sum,3955,11741,7225,3652,864,1881,6397,2759
DC,Mean,55.7,165.4,101.8,51.4,12.2,26.5,90.1,38.9
DC,Median,51.0,136.0,83.0,46.0,10.0,20.0,78.0,34.0
