Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,65,217,156,51,10,14,75,39
DOA,n100004,184,985,708,207,70,77,354,138
DOA,n100005,48,91,42,41,8,18,67,33
DOA,n100007,195,851,585,198,68,104,370,154
DOA,n100008,95,433,290,103,40,38,181,65
DOA,n100009,62,213,123,72,18,13,103,41
DOA,n100015,47,165,112,42,11,19,72,32
DOA,n100017,95,355,269,69,17,32,118,62
DOA,n100018,59,224,189,31,4,8,43,27
DOA,n100019,72,231,139,66,26,25,117,49
DOA,n100020,60,142,83,49,10,14,73,41
DOA,n100021,66,254,202,42,10,22,74,32
DOA,n100022,55,210,137,58,15,19,92,40
DOA,n100023,61,136,101,29,6,10,45,25
DOA,n100024,43,97,57,37,3,15,55,24
DOA,n100025,72,228,177,42,9,11,62,39
DOA,n100029,106,452,186,217,49,56,322,91
DOA,n100030,206,785,501,217,67,81,365,148
DOA,n100031,407,2918,1768,837,313,221,1371,373
DOA,n100032,239,865,382,391,92,116,599,201
DOA,n100034,75,263,181,66,16,36,118,48
DOA,n100035,281,1193,875,246,72,83,401,178
DOA,n100036,143,752,638,85,29,49,163,91
DOA,n100037,239,1055,737,257,61,231,549,171
DOA,n100038,70,269,164,73,32,16,121,41
DOA,n100039,190,685,373,244,68,91,403,161
DOA,n100040,73,254,143,86,25,47,158,54
DOA,n100041,57,154,72,62,20,25,107,40
DOA,n100042,87,264,141,100,23,40,163,62
DOA,n100043,156,763,578,143,42,67,252,111
DOA,n100044,66,170,102,55,13,26,94,41
DOA,n100045,150,697,367,228,102,61,391,127
DOA,n100046,83,377,207,129,41,31,201,68
DOA,n100047,123,438,251,154,33,58,245,97
DOA,n100048,159,828,272,437,119,80,636,151
DOA,n100049,187,818,340,419,59,125,603,167
DOA,n100050,206,1287,701,404,182,105,691,177
DOA,n100051,249,1286,615,531,140,134,805,227
DOA,n100052,63,212,131,62,19,24,105,50
DOA,n100053,90,390,341,35,14,26,75,44
DOA,n100054,238,1159,854,241,64,106,411,184
DOA,n100055,176,867,646,167,54,81,302,135
DOA,n100056,84,349,281,53,15,27,95,50
DOA,n100057,97,371,181,155,35,43,233,78
DOA,n100058,203,825,468,270,87,72,429,160
DOA,n100059,74,317,254,48,15,13,76,42
DOA,n100060,53,120,62,49,9,26,84,39
DOA,n100061,205,858,500,284,74,331,689,169
DOA,n100062,116,378,189,162,27,51,240,93
DOA,n100063,77,279,176,89,14,45,148,53
DOA,n100064,104,396,219,140,37,158,335,83
DOA,n100065,124,509,358,113,38,60,211,86
DOA,n100066,152,849,492,272,85,99,456,133
DOA,n100067,61,162,76,71,15,29,115,48
DOA,n100068,184,915,536,301,78,89,468,155
DOA,n100069,130,605,377,172,56,170,398,105
DOA,n100070,203,708,343,312,53,142,507,175
DOA,n100072,55,171,101,57,13,23,93,43
DOA,n100073,76,163,80,70,13,146,229,49
DOA,n100074,107,345,232,93,20,59,172,71
DOA,n100075,98,212,138,53,21,64,138,70
DOA,n100076,258,1199,674,423,102,165,690,220
DOA,n100077,177,834,466,285,83,47,415,136
DOA,n100078,107,499,355,102,42,44,188,75
DOA,n100079,63,160,119,32,9,31,72,31
DOA,n100080,215,885,682,146,57,105,308,150
DOA,n100081,139,535,407,104,24,50,178,89
DOA,n100082,219,771,331,356,84,115,555,186
DOA,Sum,8779,37448,23033,11235,3180,4659,19074,6668
DOA,Mean,129.1,550.7,338.7,165.2,46.8,68.5,280.5,98.1
DOA,Median,105.0,393.0,261.5,103.5,32.5,49.5,194.5,76.5
