Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,37,99,70,22,7,3,32,21
DT,n000161,62,282,199,61,22,20,103,43
DT,n000162,39,88,62,24,2,9,35,23
DT,n000163,37,84,64,18,2,4,24,17
DT,n000165,37,87,51,30,6,9,45,23
DT,n000166,38,93,77,14,2,3,19,13
DT,n000167,49,139,76,54,9,18,81,35
DT,n000168,38,83,66,16,1,5,22,14
DT,n000169,39,79,50,23,6,7,36,21
DT,n000170,50,186,151,26,9,10,45,25
DT,n000171,41,113,55,46,12,13,71,31
DT,n000172,37,94,69,21,4,5,30,18
DT,n000173,37,106,84,16,6,3,25,15
DT,n000174,52,214,158,33,23,16,72,37
DT,n000175,43,163,131,23,9,10,42,24
DT,n000176,39,112,69,32,11,5,48,21
DT,n000177,41,72,40,27,5,10,42,24
DT,n000178,36,88,69,17,2,0,19,14
DT,n000179,40,112,65,37,10,5,52,24
DT,n000180,62,150,92,42,16,15,73,42
DT,n000181,42,103,64,29,10,18,57,31
DT,n000182,42,113,86,23,4,9,36,21
DT,n000183,51,183,113,56,14,15,85,38
DT,n000184,40,80,50,26,4,2,32,21
DT,n000239,39,197,148,35,14,9,58,26
DT,n000240,39,91,55,31,5,8,44,22
DT,n000241,59,254,193,55,6,12,73,34
DT,n000242,37,88,66,18,4,2,24,14
DT,n000243,47,101,56,40,5,16,61,32
DT,n000244,38,98,61,29,8,4,41,24
DT,n000245,47,92,65,22,5,16,43,29
DT,n000246,38,80,60,16,4,3,23,13
DT,n000247,61,210,118,74,18,32,124,49
DT,n000248,41,100,71,26,3,13,42,23
DT,n000249,57,213,131,65,17,16,98,45
DT,n000250,43,101,61,31,9,11,51,27
DT,n000251,54,112,67,32,13,17,62,35
DT,n000252,45,151,100,36,15,17,68,35
DT,n000253,36,75,57,14,4,5,23,12
DT,n000254,41,151,114,28,9,5,42,25
DT,n000255,40,103,83,16,4,1,21,15
DT,n000256,37,96,79,15,2,5,22,17
DT,n000257,36,70,41,28,1,6,35,20
DT,n000258,36,77,49,25,3,5,33,23
DT,n000265,38,92,65,23,4,6,33,21
DT,n000266,37,106,62,31,13,6,50,23
DT,n000267,44,171,108,51,12,21,84,33
DT,n000268,36,87,66,16,5,5,26,15
DT,n000269,35,77,56,19,2,4,25,16
DT,n000270,55,229,165,49,15,18,82,38
DT,n000271,45,92,64,23,5,17,45,22
DT,n000272,56,106,66,29,11,23,63,35
DT,n000273,68,266,165,77,24,25,126,53
DT,n000274,37,98,66,28,4,10,42,24
DT,n000275,36,70,47,19,4,2,25,18
DT,n000276,40,98,67,24,7,11,42,25
DT,n000277,44,109,59,40,10,13,63,31
DT,n000278,62,236,147,66,23,12,101,45
DT,n000279,38,140,97,35,8,11,54,25
DT,n000280,41,95,66,26,3,13,42,24
DT,n000281,36,79,49,25,5,8,38,20
DT,n000282,39,94,57,33,4,8,45,27
DT,n000283,36,84,57,26,1,7,34,22
DT,Sum,2723,7712,5215,1992,505,637,3134,1633
DT,Mean,43.2,122.4,82.8,31.6,8.0,10.1,49.7,25.9
DT,Median,40.0,100.0,66.0,28.0,6.0,9.0,42.0,24.0
