Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,146,356,142,169,45,68,282,119
NnA,n000019,113,309,144,123,42,46,211,83
NnA,n000022,77,225,120,84,21,40,145,66
NnA,n000024,89,311,203,71,37,39,147,70
NnA,n000216,96,289,132,131,26,51,208,81
NnA,n000217,63,169,114,50,5,25,80,41
NnA,n000218,131,352,230,105,17,49,171,90
NnA,n000219,64,217,125,77,15,36,128,54
NnA,n000259,121,333,150,165,18,264,447,108
NnA,n000260,76,299,117,140,42,37,219,70
NnA,n000261,180,798,411,300,87,120,507,160
NnA,n000262,54,132,82,45,5,17,67,33
NnA,n000263,54,167,118,40,9,11,60,35
NnA,n000264,109,315,153,133,29,74,236,84
NnA,n000319,151,661,423,180,58,78,316,135
NnA,n000320,128,361,164,181,16,105,302,109
NnA,n000321,131,607,396,162,49,82,293,100
NnA,n000322,272,736,397,281,58,127,466,216
NnA,n000323,108,278,160,107,11,43,161,80
NnA,n000324,298,974,506,371,97,187,655,255
NnA,n000325,247,817,320,347,150,599,1096,227
NnA,n000326,160,455,333,103,19,70,192,116
NnA,n000327,69,134,80,46,8,26,80,46
NnA,n000328,116,319,197,92,30,62,184,94
NnA,n000329,785,2275,1284,798,193,590,1581,692
NnA,n000330,91,185,121,52,12,23,87,57
NnA,n000331,79,146,89,46,11,35,92,54
NnA,n000332,86,306,201,90,15,249,354,69
NnA,n000333,52,147,100,35,12,15,62,30
NnA,n000334,123,449,224,179,46,63,288,111
NnA,n000335,381,967,625,247,95,238,580,316
NnA,n000336,76,150,103,38,9,34,81,47
NnA,n000338,198,694,426,197,71,101,369,149
NnA,n000339,108,348,209,114,25,46,185,82
NnA,n000340,149,444,289,128,27,284,439,114
NnA,n000341,100,233,145,70,18,49,137,77
NnA,n000342,150,475,321,132,22,76,230,111
NnA,n000343,148,413,213,163,37,75,275,116
NnA,n000344,153,521,290,187,44,82,313,125
NnA,n000345,256,624,380,194,50,412,656,221
NnA,n000346,98,276,137,116,23,102,241,78
NnA,n000347,57,199,130,61,8,15,84,38
NnA,n000348,71,215,150,55,10,140,205,49
NnA,n000349,122,409,215,149,45,58,252,105
NnA,n000350,472,1764,949,575,240,1263,2078,431
NnA,Sum,6808,20854,11818,7129,1907,6206,15242,5544
NnA,Mean,151.3,463.4,262.6,158.4,42.4,137.9,338.7,123.2
NnA,Median,116.0,333.0,197.0,128.0,26.0,68.0,230.0,90.0
