Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,49,134,63,56,15,24,95,37
NnT,n000221,55,132,74,41,17,13,71,37
NnT,n000222,46,161,76,66,19,20,105,39
NnT,n000223,58,179,105,56,18,19,93,45
NnT,n000224,45,91,43,39,9,16,64,35
NnT,n000225,49,130,56,64,10,25,99,41
NnT,n000226,42,103,37,57,9,10,76,35
NnT,n000227,105,281,184,82,15,62,159,84
NnT,n000228,52,140,111,24,5,16,45,30
NnT,n000229,46,141,86,44,11,19,74,35
NnT,n000230,37,83,46,33,4,12,49,28
NnT,n000231,37,87,60,25,2,4,31,21
NnT,n000232,157,578,324,217,37,85,339,131
NnT,n000233,39,84,55,23,6,3,32,21
NnT,n000234,44,108,67,37,4,8,49,29
NnT,n000235,49,190,117,53,20,25,98,40
NnT,n000236,57,125,70,48,7,25,80,41
NnT,n000237,48,132,54,62,16,21,99,40
NnT,n000238,57,157,93,51,13,19,83,38
NnT,n000284,36,78,34,39,5,11,55,28
NnT,n000285,45,127,79,43,5,11,59,32
NnT,n000286,49,85,42,33,10,15,58,37
NnT,n000287,65,257,159,79,19,32,130,51
NnT,n000288,58,126,71,46,9,27,82,38
NnT,n000289,57,160,90,52,18,26,96,45
NnT,n000290,50,108,63,39,6,16,61,34
NnT,n000291,77,191,87,88,16,53,157,62
NnT,n000292,85,222,126,74,22,36,132,63
NnT,n000293,44,111,51,54,6,13,73,39
NnT,n000294,39,82,61,18,3,3,24,20
NnT,n000295,45,110,54,37,19,4,60,34
NnT,n000296,57,145,102,29,14,19,62,36
NnT,n000297,68,206,110,81,15,30,126,55
NnT,n000298,50,109,62,39,8,24,71,35
NnT,n000299,46,110,51,54,5,22,81,33
NnT,n000300,39,79,52,26,1,10,37,21
NnT,n000301,57,118,63,46,9,20,75,41
NnT,n000302,78,171,103,59,9,21,89,48
NnT,n000303,75,253,119,101,33,37,171,71
NnT,n000304,53,106,68,33,5,23,61,34
NnT,n000305,48,110,55,44,11,13,68,38
NnT,n000306,64,189,116,63,10,37,110,48
NnT,n000307,64,264,170,76,18,37,131,54
NnT,n000308,59,185,115,62,8,21,91,45
NnT,n000309,85,230,132,84,14,41,139,63
NnT,n000311,56,165,91,65,9,27,101,40
NnT,n000312,42,100,50,44,6,23,73,31
NnT,n000313,51,142,76,54,12,18,84,35
NnT,n000314,153,402,187,148,67,93,308,131
NnT,n000315,48,85,43,34,8,11,53,31
NnT,n000316,71,208,134,64,10,42,116,49
NnT,n000317,62,111,67,38,6,31,75,38
NnT,n000318,45,88,45,38,5,12,55,29
NnT,Sum,3093,8269,4649,2962,658,1285,4905,2296
NnT,Mean,58.4,156.0,87.7,55.9,12.4,24.2,92.5,43.3
NnT,Median,51.0,132.0,71.0,51.0,10.0,21.0,80.0,38.0
