Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,161,674,423,222,29,62,313,128
DC,n000026,216,717,462,218,37,99,354,169
DC,n000027,174,601,300,270,31,110,411,149
DC,n000028,185,696,471,187,38,96,321,144
DC,n000029,233,925,729,162,34,104,300,161
DC,n000030,222,1006,769,192,45,242,479,161
DC,n000031,242,722,530,168,24,57,249,139
DC,n000032,166,680,475,184,21,61,266,128
DC,n000033,134,579,394,158,27,51,236,98
DC,n000034,164,587,415,154,18,266,438,114
DC,n000036,162,568,277,244,47,264,555,140
DC,n000037,155,710,411,232,67,65,364,133
DC,n000038,171,662,421,216,25,84,325,129
DC,n000039,223,945,706,204,35,80,319,151
DC,n000040,168,951,713,197,41,66,304,122
DC,n000041,162,936,724,176,36,46,258,118
DC,n000042,167,927,728,169,30,45,244,111
DC,n000043,160,926,682,205,39,73,317,126
DC,n000044,215,1116,925,162,29,42,233,116
DC,n000045,177,1114,750,308,56,74,438,147
DC,n000046,190,1139,787,270,82,60,412,150
DC,n000047,192,942,713,196,33,55,284,136
DC,n000048,172,922,586,289,47,70,406,143
DC,n000049,138,849,622,184,43,63,290,110
DC,n000050,227,1174,886,236,52,75,363,159
DC,n000051,206,964,743,188,33,70,291,143
DC,n000052,184,929,672,208,49,86,343,147
DC,n000053,190,917,728,166,23,49,238,123
DC,n000054,286,1255,948,259,48,215,522,198
DC,n000055,176,602,401,165,36,28,229,126
DC,n000056,139,586,388,160,38,32,230,103
DC,n000057,122,619,385,188,46,29,263,104
DC,n000058,135,537,365,140,32,30,202,96
DC,n000059,117,552,289,208,55,30,293,95
DC,n000060,143,730,492,173,65,36,274,108
DC,n000061,213,884,677,180,27,77,284,139
DC,n000062,138,866,608,208,50,65,323,113
DC,n000063,140,683,522,132,29,27,188,90
DC,n000064,163,918,717,169,32,64,265,118
DC,n000065,131,686,462,165,59,48,272,105
DC,n000066,110,627,441,142,44,29,215,85
DC,n000067,209,1014,639,318,57,84,459,174
DC,n000068,155,708,475,179,54,59,292,130
DC,n000069,115,481,305,135,41,19,195,82
DC,n000070,203,631,372,198,61,168,427,157
DC,n000071,180,955,509,378,68,97,543,163
DC,n000072,147,918,757,133,28,36,197,95
DC,n000073,111,628,498,109,21,18,148,73
DC,n000074,232,1156,846,260,50,86,396,166
DC,n000193,196,1125,770,307,48,82,437,167
DC,n000194,221,930,628,262,40,105,407,181
DC,n000195,234,1129,786,303,40,144,487,190
DC,n000196,179,1125,899,201,25,54,280,121
DC,n000197,238,1143,882,220,41,111,372,170
DC,n000198,203,1134,795,291,48,88,427,162
DC,n000199,180,954,718,207,29,58,294,130
DC,n000200,191,1028,645,324,59,81,464,162
DC,n000201,222,969,647,270,52,203,525,168
DC,n000202,188,706,535,152,19,70,241,121
DC,n000203,251,892,626,230,36,101,367,189
DC,n000205,253,941,617,278,46,130,454,203
DC,n000206,186,1133,753,347,33,108,488,158
DC,n000207,181,1112,710,332,70,76,478,154
DC,n000208,258,940,396,491,53,206,750,240
DC,n000209,217,884,585,255,44,241,540,171
DC,n000210,179,664,482,166,16,74,256,128
DC,n000211,252,590,336,226,28,75,329,191
DC,n000212,176,673,470,181,22,67,270,131
DC,n000213,182,702,468,195,39,54,288,139
DC,n000214,191,732,510,176,46,71,293,139
DC,n000215,205,967,716,206,45,68,319,149
DC,Sum,13104,60387,42112,15384,2891,6059,24334,9879
DC,Mean,184.6,850.5,593.1,216.7,40.7,85.3,342.7,139.1
DC,Median,181.0,917.0,617.0,201.0,40.0,70.0,317.0,139.0
