Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DOA,n100001,194,876,612,232,32,95,359,145
DOA,n100004,174,895,720,139,36,44,219,103
DOA,n100005,136,891,642,218,31,178,427,114
DOA,n100007,157,877,677,173,27,44,244,115
DOA,n100008,159,922,684,201,37,80,318,122
DOA,n100009,153,908,646,216,46,52,314,121
DOA,n100015,164,880,719,136,25,77,238,117
DOA,n100017,159,866,754,104,8,40,152,84
DOA,n100018,141,869,760,94,15,184,293,72
DOA,n100019,153,895,765,112,18,64,194,99
DOA,n100020,175,873,693,145,35,211,391,104
DOA,n100021,145,880,797,73,10,30,113,68
DOA,n100022,132,892,754,115,23,30,168,79
DOA,n100023,146,879,743,108,28,36,172,87
DOA,n100024,136,876,723,134,19,51,204,97
DOA,n100025,174,882,769,93,20,46,159,89
DOA,n100029,158,954,604,305,45,104,454,135
DOA,n100030,187,883,662,181,40,79,300,134
DOA,n100031,162,915,661,215,39,81,335,127
DOA,n100032,232,973,613,325,35,125,485,188
DOA,n100034,160,887,752,122,13,54,189,94
DOA,n100035,235,929,740,159,30,55,244,130
DOA,n100036,161,882,764,100,18,50,168,89
DOA,n100037,199,926,739,163,24,52,239,106
DOA,n100038,147,902,694,165,43,44,252,101
DOA,n100039,164,936,705,185,46,54,285,102
DOA,n100040,153,890,660,198,32,72,302,119
DOA,n100041,203,905,580,263,62,103,428,170
DOA,n100042,160,905,732,142,31,61,234,97
DOA,n100043,182,891,762,105,24,42,171,97
DOA,n100044,140,883,655,197,31,88,316,118
DOA,n100045,151,903,696,179,28,44,251,104
DOA,n100046,152,877,650,191,36,55,282,115
DOA,n100047,488,1112,547,481,84,287,852,379
DOA,n100048,212,948,281,582,85,188,855,203
DOA,n100049,179,917,463,394,60,109,563,159
DOA,n100050,176,900,613,242,45,70,357,143
DOA,n100051,168,915,553,306,56,56,418,142
DOA,n100052,193,984,786,158,40,53,251,117
DOA,n100053,154,889,792,77,20,24,121,64
DOA,n100054,196,875,722,123,30,47,200,107
DOA,n100055,164,883,802,68,13,213,294,60
DOA,n100056,163,876,792,75,9,39,123,78
DOA,n100057,153,909,591,268,50,71,389,133
DOA,n100058,231,935,562,303,70,104,477,187
DOA,n100059,132,879,763,95,21,25,141,70
DOA,n100060,168,912,602,253,57,69,379,136
DOA,n100061,166,896,666,198,32,46,276,112
DOA,n100062,154,880,630,227,23,46,296,112
DOA,n100063,145,910,640,232,38,230,500,119
DOA,n100064,152,889,632,215,42,72,329,120
DOA,n100065,153,888,698,163,27,54,244,101
DOA,n100066,157,900,655,208,37,55,300,112
DOA,n100067,214,994,623,298,73,126,497,183
DOA,n100068,216,1011,679,286,46,91,423,167
DOA,n100069,158,898,676,193,29,61,283,110
DOA,n100070,401,1141,686,397,58,161,616,303
DOA,n100072,157,894,706,154,34,65,253,106
DOA,n100073,182,886,622,223,41,67,331,132
DOA,n100074,172,902,740,127,35,63,225,106
DOA,n100075,163,888,713,142,33,97,272,110
DOA,n100076,184,917,690,187,40,234,461,133
DOA,n100077,206,887,623,212,52,50,314,140
DOA,n100078,148,898,710,158,30,42,230,102
DOA,n100079,139,880,787,74,19,30,123,70
DOA,n100080,161,887,781,94,12,38,144,83
DOA,n100081,148,888,763,103,22,37,162,88
DOA,n100082,180,964,566,343,55,107,505,150
DOA,Sum,11977,61834,46282,13147,2405,5552,21104,8279
DOA,Mean,176.1,909.3,680.6,193.3,35.4,81.6,310.4,121.8
DOA,Median,161.5,894.5,691.5,180.0,32.5,61.0,284.0,112.0
