Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DT,n000160,127,884,734,125,25,32,182,83
DT,n000161,136,918,736,147,35,49,231,103
DT,n000162,207,931,700,201,30,195,426,156
DT,n000163,159,905,748,126,31,113,270,105
DT,n000165,163,908,715,155,38,65,258,124
DT,n000166,155,909,769,111,29,38,178,90
DT,n000167,151,916,697,183,36,39,258,110
DT,n000168,135,900,753,111,36,41,188,92
DT,n000169,129,907,718,147,42,36,225,91
DT,n000170,167,909,764,116,29,44,189,94
DT,n000171,198,1037,717,243,77,78,398,151
DT,n000172,152,936,743,150,43,44,237,110
DT,n000173,138,895,755,112,28,35,175,90
DT,n000174,146,957,801,119,37,58,214,107
DT,n000175,162,901,784,94,23,46,163,94
DT,n000176,204,947,698,203,46,147,396,162
DT,n000177,163,924,762,125,37,71,233,111
DT,n000178,160,907,757,112,38,43,193,95
DT,n000179,133,886,724,135,27,50,212,88
DT,n000180,173,962,754,169,39,68,276,134
DT,n000181,143,911,731,143,37,44,224,99
DT,n000182,168,915,747,129,39,51,219,113
DT,n000183,180,968,751,165,52,84,301,134
DT,n000184,194,927,720,168,39,88,295,139
DT,n000239,124,883,684,158,41,50,249,95
DT,n000240,161,933,773,123,37,56,216,106
DT,n000241,154,861,721,123,17,25,165,89
DT,n000242,160,894,732,130,32,36,198,103
DT,n000243,124,881,645,205,31,153,389,97
DT,n000244,156,893,727,150,16,54,220,110
DT,n000245,132,893,730,126,37,23,186,84
DT,n000246,129,872,751,109,12,38,159,75
DT,n000247,105,895,716,153,26,21,200,77
DT,n000248,144,870,668,168,34,38,240,105
DT,n000249,133,889,759,108,22,176,306,84
DT,n000250,148,892,724,135,33,42,210,95
DT,n000251,140,879,776,87,16,139,242,74
DT,n000252,120,886,662,193,31,31,255,91
DT,n000253,109,871,694,138,39,29,206,78
DT,n000254,127,900,753,121,26,40,187,92
DT,n000255,129,881,794,70,17,17,104,61
DT,n000256,121,877,761,96,20,21,137,63
DT,n000257,128,890,700,158,32,49,239,89
DT,n000258,132,899,674,186,39,63,288,114
DT,n000265,129,900,742,115,43,49,207,88
DT,n000266,143,889,741,123,25,49,197,100
DT,n000267,103,894,712,145,37,38,220,83
DT,n000268,134,889,770,96,23,43,162,85
DT,n000269,122,883,761,98,24,25,147,70
DT,n000270,136,886,681,174,31,31,236,95
DT,n000271,116,894,773,104,17,20,141,74
DT,n000272,128,880,785,82,13,28,123,64
DT,n000273,131,921,712,172,37,36,245,93
DT,n000274,122,906,714,152,40,49,241,92
DT,n000275,124,882,766,90,26,35,151,71
DT,n000276,158,913,694,185,34,48,267,118
DT,n000277,140,930,700,196,34,65,295,108
DT,n000278,162,895,558,272,65,180,517,135
DT,n000279,167,923,690,197,36,58,291,127
DT,n000280,136,880,749,115,16,62,193,86
DT,n000281,118,900,716,157,27,55,239,92
DT,n000282,123,879,772,85,22,42,149,73
DT,n000283,150,938,808,107,23,46,176,86
DT,Sum,9061,56981,46066,8891,2024,3619,14534,6197
DT,Mean,143.8,904.5,731.2,141.1,32.1,57.4,230.7,98.4
DT,Median,138.0,899.0,734.0,135.0,32.0,46.0,220.0,94.0
