Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnA,n000016,214,742,326,328,88,90,506,205
NnA,n000019,230,642,294,292,56,86,434,202
NnA,n000022,200,929,439,396,94,98,588,177
NnA,n000024,301,1062,453,470,139,898,1507,274
NnA,n000217,194,899,624,196,79,242,517,149
NnA,n000218,184,910,629,225,56,73,354,143
NnA,n000219,177,891,584,272,35,71,378,152
NnA,n000259,319,976,543,385,48,218,651,272
NnA,n000260,184,740,248,417,75,203,695,179
NnA,n000261,194,958,591,322,45,77,444,166
NnA,n000262,220,925,556,325,44,97,466,189
NnA,n000263,283,975,689,246,40,219,505,209
NnA,n000264,301,995,649,286,60,120,466,238
NnA,n000319,171,885,710,156,19,50,225,111
NnA,n000320,234,906,522,356,28,215,599,199
NnA,n000321,186,903,638,235,30,313,578,153
NnA,n000322,350,929,508,371,50,176,597,292
NnA,n000323,186,893,509,341,43,80,464,168
NnA,n000324,320,1037,596,349,92,379,820,265
NnA,n000325,353,1026,466,399,161,281,841,315
NnA,n000326,213,885,622,238,25,91,354,161
NnA,n000327,421,1006,487,459,60,210,729,350
NnA,n000328,236,971,663,240,68,271,579,190
NnA,n000329,310,1054,569,403,82,205,690,277
NnA,n000330,268,911,551,312,48,94,454,216
NnA,n000331,352,1018,573,354,91,209,654,271
NnA,n000332,274,950,669,229,52,81,362,194
NnA,n000333,151,886,679,170,37,64,271,109
NnA,n000334,171,928,593,279,56,89,424,152
NnA,n000335,188,905,654,210,41,66,317,147
NnA,n000336,272,938,538,347,53,170,570,229
NnA,n000337,287,968,532,362,74,119,555,254
NnA,n000338,347,993,657,293,43,111,447,246
NnA,n000339,226,938,545,314,79,199,592,201
NnA,n000340,197,909,646,224,39,100,363,142
NnA,n000341,232,904,639,214,51,103,368,181
NnA,n000342,193,905,584,282,39,95,416,163
NnA,n000343,292,959,511,369,79,136,584,251
NnA,n000344,295,974,574,347,53,280,680,249
NnA,n000345,248,897,485,361,51,110,522,216
NnA,n000346,262,948,544,342,62,102,506,227
NnA,n000347,293,930,608,266,56,73,395,215
NnA,n000348,260,903,611,258,34,199,491,197
NnA,n000349,245,926,543,339,44,90,473,204
NnA,n000350,270,1045,579,365,101,450,916,227
NnA,Sum,11304,41874,25230,13944,2700,7703,24347,9327
NnA,Mean,251.2,930.5,560.7,309.9,60.0,171.2,541.0,207.3
NnA,Median,245.0,929.0,574.0,322.0,53.0,111.0,506.0,202.0
