Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
NnT,n000220,243,1047,639,318,90,262,670,210
NnT,n000221,149,847,518,262,67,60,389,133
NnT,n000222,261,1210,633,458,119,163,740,233
NnT,n000223,214,969,648,271,50,96,417,179
NnT,n000224,191,691,343,301,47,45,393,161
NnT,n000225,217,903,387,444,72,112,628,203
NnT,n000226,195,955,575,324,56,76,456,173
NnT,n000227,349,950,652,261,37,215,513,266
NnT,n000228,250,1150,857,245,48,308,601,194
NnT,n000229,170,869,579,245,45,74,364,151
NnT,n000230,147,667,338,276,53,83,412,132
NnT,n000231,157,661,331,278,52,63,393,139
NnT,n000232,224,773,433,291,49,60,400,190
NnT,n000233,239,932,639,237,56,98,391,184
NnT,n000234,259,906,611,239,56,182,477,196
NnT,n000235,210,933,591,259,83,305,647,185
NnT,n000236,271,979,547,362,70,102,534,225
NnT,n000237,157,691,387,233,71,58,362,140
NnT,n000238,180,644,404,205,35,76,316,147
NnT,n000284,192,950,519,341,90,118,549,177
NnT,n000285,169,911,580,301,30,100,431,155
NnT,n000286,224,894,497,360,37,312,709,209
NnT,n000287,184,917,563,296,58,127,481,162
NnT,n000288,232,935,493,382,60,357,799,210
NnT,n000289,214,963,686,236,41,270,547,177
NnT,n000290,214,940,659,232,49,80,361,152
NnT,n000291,182,962,538,341,83,130,554,169
NnT,n000292,238,973,628,277,68,100,445,194
NnT,n000293,245,982,450,462,70,204,736,231
NnT,n000294,173,898,639,194,65,39,298,131
NnT,n000295,183,880,587,261,32,98,391,152
NnT,n000296,276,1034,647,282,105,328,715,232
NnT,n000297,232,1024,608,350,66,192,608,213
NnT,n000298,200,949,534,354,61,189,604,181
NnT,n000299,298,750,432,283,35,90,408,238
NnT,n000300,185,926,502,365,59,97,521,173
NnT,n000301,259,1009,608,323,78,94,495,219
NnT,n000302,192,373,169,194,10,72,276,152
NnT,n000303,205,964,592,303,69,103,475,175
NnT,n000304,255,876,562,262,52,99,413,199
NnT,n000305,229,945,609,278,58,129,465,187
NnT,n000306,230,928,586,312,30,136,478,198
NnT,n000307,205,951,697,204,50,90,344,140
NnT,n000308,199,957,621,279,57,94,430,173
NnT,n000309,334,1017,486,445,86,157,688,294
NnT,n000311,132,901,649,214,38,48,300,110
NnT,n000312,190,914,552,312,50,98,460,169
NnT,n000313,160,921,624,243,54,94,391,133
NnT,n000314,252,1011,635,291,85,134,510,206
NnT,n000315,204,1014,674,257,83,102,442,175
NnT,n000316,278,986,603,315,68,141,524,231
NnT,n000317,191,677,408,239,30,57,326,155
NnT,n000318,306,862,432,373,57,119,549,268
NnT,Sum,11545,47971,29181,15670,3120,7036,25826,9781
NnT,Mean,217.8,905.1,550.6,295.7,58.9,132.8,487.3,184.5
NnT,Median,214.0,933.0,580.0,282.0,57.0,100.0,465.0,179.0
