Style,Group,Model,WER
Rd,DC,NoAug,44.54652876432241
Rd,DC,SpAug,38.565302247772806
Rd,DC,SpSpecAug,38.01564014392119
Rd,DC,Whisper,40.29675261231722
Rd,DC,FT-Wpr,40.89796997950142
Rd,DT,NoAug,23.90868111094954
Rd,DT,SpAug,22.57670495855751
Rd,DT,SpSpecAug,20.655809219136252
Rd,DT,Whisper,25.50674786332286
Rd,DT,FT-Wpr,22.38100241672796
Rd,DOA,NoAug,29.653309079235996
Rd,DOA,SpAug,29.01128885559895
Rd,DOA,SpSpecAug,27.465090150339737
Rd,DOA,Whisper,34.130090241614646
Rd,DOA,FT-Wpr,28.232671588027202
Rd,NnT,NoAug,57.00788935424175
Rd,NnT,SpAug,58.45589428914646
Rd,NnT,SpSpecAug,54.28232849582806
Rd,NnT,Whisper,53.83669300202205
Rd,NnT,FT-Wpr,57.73303139727034
Rd,NnA,NoAug,62.94694455836844
Rd,NnA,SpAug,65.13739234182171
Rd,NnA,SpSpecAug,62.28701390701317
Rd,NnA,Whisper,58.14347805320724
Rd,NnA,FT-Wpr,60.7907128537461
HMI,DC,NoAug,52.027831755782614
HMI,DC,SpAug,45.60270795461669
HMI,DC,SpSpecAug,43.226979251551434
HMI,DC,Whisper,54.484285835959454
HMI,DC,FT-Wpr,43.4518931322734
HMI,DT,NoAug,41.73651002919296
HMI,DT,SpAug,37.235144552217726
HMI,DT,SpSpecAug,31.27413127413127
HMI,DT,Whisper,40.63796680497925
HMI,DT,FT-Wpr,37.619406737053794
HMI,DOA,NoAug,43.52238675386601
HMI,DOA,SpAug,42.804960738423844
HMI,DOA,SpSpecAug,40.13429865045167
HMI,DOA,Whisper,50.93462935270241
HMI,DOA,FT-Wpr,43.88997015700013
HMI,NnT,NoAug,60.78638808075465
HMI,NnT,SpAug,61.888389314996026
HMI,NnT,SpSpecAug,54.49175703076787
HMI,NnT,Whisper,59.31793445398477
HMI,NnT,FT-Wpr,59.61904761904761
HMI,NnA,NoAug,63.21138211382114
HMI,NnA,SpAug,64.09698025551684
HMI,NnA,SpSpecAug,58.88501742160279
HMI,NnA,Whisper,73.08909561714779
HMI,NnA,FT-Wpr,58.321304237072255
